"season","location_name","meanpercdiff","perclow","perchigh","perciqr","perc_median","meanabsolute","absolow","absohigh","absoiqr","median"
"A) 2021-2022","Alabama",-0.0366490113677936,-0.185185185185185,0.117647058823529,0.175,-0.04,-0.80952380952381,-6,2,3,-1
"A) 2021-2022","Alaska",0.0460038986354776,-0.5,2,0.213815789473684,0,-0.333333333333333,-2,2,1,0
"A) 2021-2022","Arizona",-0.0536794189874625,-0.1875,0.0493827160493827,0.0832391713747646,-0.0442477876106195,-4.33333333333333,-17,4,7,-3
"A) 2021-2022","Arkansas",-0.0109282992508287,-0.388888888888889,0.333333333333333,0.17478437341451,0,-1.33333333333333,-14,5,5,0
"A) 2021-2022","California",-0.00623799926550329,-0.117647058823529,0.0961538461538462,0.0365,0,-1.0952380952381,-21,9,5,0
"A) 2021-2022","Colorado",0.00210743090416386,-0.15625,0.136363636363636,0.0434782608695652,0.00775193798449612,1.38095238095238,-5,8,3,1
"A) 2021-2022","Connecticut",0.0653671912606085,-0.25,1,0.255434782608696,0,-1.66666666666667,-22,11,6,0
"A) 2021-2022","Delaware",Inf,-0.222222222222222,Inf,0.0604166666666667,0,0,-2,1,1,0
"A) 2021-2022","District of Columbia",0.0166666666666667,0,0.333333333333333,0,0,0.0476190476190476,0,1,0,0
"A) 2021-2022","Florida",-0.0104318304929982,-0.0688073394495413,0.0952380952380952,0.0561405818086087,-0.0160771704180064,-5.61904761904762,-40,10,13,-2
"A) 2021-2022","Georgia",-0.0546339695058823,-0.362068965517241,0.0967741935483871,0.0454545454545454,-0.0444444444444444,-2.85714285714286,-21,3,2,-2
"A) 2021-2022","Hawaii",-0.115899725274725,-0.75,0.285714285714286,0.230769230769231,0,-0.619047619047619,-3,2,1,0
"A) 2021-2022","Idaho",0.211437780240301,-0.285714285714286,2,0.235294117647059,0,0.571428571428571,-6,4,1,0
"A) 2021-2022","Illinois",-0.0110530059936305,-0.181818181818182,0.3125,0.125471698113208,-0.0263157894736842,-1.71428571428571,-15,6,6,-1
"A) 2021-2022","Indiana",0.012779462648336,-0.120481927710843,0.0952380952380952,0.0977564102564103,0,-0.666666666666667,-15,4,3,0
"A) 2021-2022","Iowa",-0.0550709402241156,-0.444444444444444,0.5,0.141514227642276,-0.046875,-1.04761904761905,-6,4,2,-1
"A) 2021-2022","Kansas",0.0884533861386131,-0.4,2,0.196825396825397,0,-0.333333333333333,-10,9,4,0
"A) 2021-2022","Kentucky",0.0219196706425299,-0.272727272727273,0.303030303030303,0.176424050632911,0,1.04761904761905,-6,10,6,0
"A) 2021-2022","Louisiana",-0.0238433922644449,-0.473684210526316,0,0,0,-0.476190476190476,-9,0,0,0
"A) 2021-2022","Maine",0.0189404163088374,-0.5,0.5,0.169191919191919,0,0,-7,4,1,0
"A) 2021-2022","Maryland",0.0896562742983239,-0.25,0.428571428571429,0.170731707317073,0.0526315789473684,2.33333333333333,-7,11,6,1
