"report_date","state","value","location_name","final_value","truth_date","final_perc_change","absolutediff","season"
2022-02-05,"OK",56,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"OR",1,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"PA",49,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"PR",7,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"RI",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"SC",23,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"SD",8,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"TN",35,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"TX",118,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"UT",6,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"VA",47,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"VT",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"WA",4,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"WI",29,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"WV",9,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"WY",1,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-05,"US",1159,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"AK",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"AL",11,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"AR",25,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"AZ",62,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"CA",34,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"CO",26,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"CT",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"DC",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"DE",2,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"FL",68,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"GA",39,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"HI",0,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"IA",52,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"ID",1,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"IL",11,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"IN",28,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"KS",15,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"KY",14,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"LA",22,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"MA",35,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"MD",11,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"ME",7,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"MI",40,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"MN",20,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"MO",35,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"MS",24,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"MT",11,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"NC",34,NA,NA,NA,NA,NA,"A) 2021-2022"
2022-02-12,"ND",5,NA,NA,NA,NA,NA,"A) 2021-2022"
