"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,91
"8","Alaska",2022-09-03,0
"9","Alaska",2022-09-10,5
"10","Alaska",2022-09-17,0
"11","Alaska",2022-09-24,0
"12","Alaska",2022-10-01,2
"13","Alaska",2022-10-08,3
"14","Alaska",2022-10-15,0
"15","Arizona",2022-09-03,16
"16","Arizona",2022-09-10,5
"17","Arizona",2022-09-17,7
"18","Arizona",2022-09-24,9
"19","Arizona",2022-10-01,10
"20","Arizona",2022-10-08,18
"21","Arizona",2022-10-15,8
"22","Arkansas",2022-09-03,8
"23","Arkansas",2022-09-10,6
"24","Arkansas",2022-09-17,4
"25","Arkansas",2022-09-24,8
"26","Arkansas",2022-10-01,10
"27","Arkansas",2022-10-08,21
"28","Arkansas",2022-10-15,54
"29","California",2022-09-03,35
"30","California",2022-09-10,29
"31","California",2022-09-17,24
"32","California",2022-09-24,35
"33","California",2022-10-01,72
"34","California",2022-10-08,93
"35","California",2022-10-15,79
"36","Colorado",2022-09-03,1
"37","Colorado",2022-09-10,3
"38","Colorado",2022-09-17,3
"39","Colorado",2022-09-24,4
"40","Colorado",2022-10-01,3
"41","Colorado",2022-10-08,1
"42","Colorado",2022-10-15,3
"43","Connecticut",2022-09-03,4
"44","Connecticut",2022-09-10,3
"45","Connecticut",2022-09-17,4
"46","Connecticut",2022-09-24,3
"47","Connecticut",2022-10-01,2
"48","Connecticut",2022-10-08,3
"49","Connecticut",2022-10-15,7
"50","Delaware",2022-09-03,3
"51","Delaware",2022-09-10,0
"52","Delaware",2022-09-17,2
"53","Delaware",2022-09-24,0
"54","Delaware",2022-10-01,0
"55","Delaware",2022-10-08,0
"56","Delaware",2022-10-15,0
"57","District of Columbia",2022-09-03,0
"58","District of Columbia",2022-09-10,0
"59","District of Columbia",2022-09-17,0
"60","District of Columbia",2022-09-24,1
"61","District of Columbia",2022-10-01,0
"62","District of Columbia",2022-10-08,1
"63","District of Columbia",2022-10-15,2
"64","Florida",2022-09-03,70
"65","Florida",2022-09-10,60
"66","Florida",2022-09-17,78
"67","Florida",2022-09-24,81
"68","Florida",2022-10-01,77
"69","Florida",2022-10-08,110
"70","Florida",2022-10-15,103
"71","Georgia",2022-09-03,22
"72","Georgia",2022-09-10,38
"73","Georgia",2022-09-17,36
"74","Georgia",2022-09-24,39
"75","Georgia",2022-10-01,54
"76","Georgia",2022-10-08,87
"77","Georgia",2022-10-15,115
"78","Hawaii",2022-09-03,2
"79","Hawaii",2022-09-10,1
