"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,383
"11","Alaska",2022-09-03,0
"12","Alaska",2022-09-10,5
"13","Alaska",2022-09-17,0
"14","Alaska",2022-09-24,0
"15","Alaska",2022-10-01,2
"16","Alaska",2022-10-08,3
"17","Alaska",2022-10-15,2
"18","Alaska",2022-10-22,3
"19","Alaska",2022-10-29,14
"20","Alaska",2022-11-05,10
"21","Arizona",2022-09-03,16
"22","Arizona",2022-09-10,5
"23","Arizona",2022-09-17,7
"24","Arizona",2022-09-24,9
"25","Arizona",2022-10-01,10
"26","Arizona",2022-10-08,18
"27","Arizona",2022-10-15,14
"28","Arizona",2022-10-22,22
"29","Arizona",2022-10-29,34
"30","Arizona",2022-11-05,93
"31","Arkansas",2022-09-03,8
"32","Arkansas",2022-09-10,6
"33","Arkansas",2022-09-17,4
"34","Arkansas",2022-09-24,8
"35","Arkansas",2022-10-01,10
"36","Arkansas",2022-10-08,21
"37","Arkansas",2022-10-15,40
"38","Arkansas",2022-10-22,50
"39","Arkansas",2022-10-29,84
"40","Arkansas",2022-11-05,136
"41","California",2022-09-03,35
"42","California",2022-09-10,29
"43","California",2022-09-17,24
"44","California",2022-09-24,35
"45","California",2022-10-01,72
"46","California",2022-10-08,93
"47","California",2022-10-15,90
"48","California",2022-10-22,124
"49","California",2022-10-29,211
"50","California",2022-11-05,451
"51","Colorado",2022-09-03,1
"52","Colorado",2022-09-10,3
"53","Colorado",2022-09-17,3
"54","Colorado",2022-09-24,4
"55","Colorado",2022-10-01,3
"56","Colorado",2022-10-08,1
"57","Colorado",2022-10-15,5
"58","Colorado",2022-10-22,15
"59","Colorado",2022-10-29,32
"60","Colorado",2022-11-05,33
"61","Connecticut",2022-09-03,4
"62","Connecticut",2022-09-10,3
"63","Connecticut",2022-09-17,4
"64","Connecticut",2022-09-24,3
"65","Connecticut",2022-10-01,2
"66","Connecticut",2022-10-08,3
"67","Connecticut",2022-10-15,9
"68","Connecticut",2022-10-22,9
"69","Connecticut",2022-10-29,37
"70","Connecticut",2022-11-05,44
"71","Delaware",2022-09-03,3
"72","Delaware",2022-09-10,0
"73","Delaware",2022-09-17,2
"74","Delaware",2022-09-24,0
"75","Delaware",2022-10-01,0
"76","Delaware",2022-10-08,0
"77","Delaware",2022-10-15,0
"78","Delaware",2022-10-22,1
"79","Delaware",2022-10-29,4
"80","Delaware",2022-11-05,11
