"","location_name","wk_end_date","value"
"164","District of Columbia",2022-11-19,35
"165","District of Columbia",2022-11-26,70
"166","District of Columbia",2022-12-03,56
"167","District of Columbia",2022-12-10,42
"168","District of Columbia",2022-12-17,20
"169","District of Columbia",2022-12-24,26
"170","District of Columbia",2022-12-31,27
"171","District of Columbia",2023-01-07,14
"172","Florida",2022-09-03,70
"173","Florida",2022-09-10,60
"174","Florida",2022-09-17,78
"175","Florida",2022-09-24,81
"176","Florida",2022-10-01,77
"177","Florida",2022-10-08,110
"178","Florida",2022-10-15,105
"179","Florida",2022-10-22,125
"180","Florida",2022-10-29,260
"181","Florida",2022-11-05,304
"182","Florida",2022-11-12,490
"183","Florida",2022-11-19,504
"184","Florida",2022-11-26,803
"185","Florida",2022-12-03,896
"186","Florida",2022-12-10,789
"187","Florida",2022-12-17,865
"188","Florida",2022-12-24,832
"189","Florida",2022-12-31,1148
"190","Florida",2023-01-07,1060
"191","Georgia",2022-09-03,22
"192","Georgia",2022-09-10,38
"193","Georgia",2022-09-17,36
"194","Georgia",2022-09-24,39
"195","Georgia",2022-10-01,54
"196","Georgia",2022-10-08,87
"197","Georgia",2022-10-15,113
"198","Georgia",2022-10-22,119
"199","Georgia",2022-10-29,176
"200","Georgia",2022-11-05,217
"201","Georgia",2022-11-12,250
"202","Georgia",2022-11-19,193
"203","Georgia",2022-11-26,251
"204","Georgia",2022-12-03,252
"205","Georgia",2022-12-10,172
"206","Georgia",2022-12-17,132
"207","Georgia",2022-12-24,131
"208","Georgia",2022-12-31,169
"209","Georgia",2023-01-07,156
"210","Hawaii",2022-09-03,2
"211","Hawaii",2022-09-10,1
"212","Hawaii",2022-09-17,2
"213","Hawaii",2022-09-24,3
"214","Hawaii",2022-10-01,5
"215","Hawaii",2022-10-08,4
"216","Hawaii",2022-10-15,6
"217","Hawaii",2022-10-22,4
"218","Hawaii",2022-10-29,6
"219","Hawaii",2022-11-05,8
"220","Hawaii",2022-11-12,25
"221","Hawaii",2022-11-19,10
"222","Hawaii",2022-11-26,12
"223","Hawaii",2022-12-03,12
"224","Hawaii",2022-12-10,11
"225","Hawaii",2022-12-17,17
"226","Hawaii",2022-12-24,31
"227","Hawaii",2022-12-31,27
"228","Hawaii",2023-01-07,10
"229","Idaho",2022-09-03,3
"230","Idaho",2022-09-10,0
"231","Idaho",2022-09-17,1
"232","Idaho",2022-09-24,3
"233","Idaho",2022-10-01,2
"234","Idaho",2022-10-08,1
"235","Idaho",2022-10-15,1
"236","Idaho",2022-10-22,1
"237","Idaho",2022-10-29,1
"238","Idaho",2022-11-05,20
"239","Idaho",2022-11-12,14
"240","Idaho",2022-11-19,60
"241","Idaho",2022-11-26,155
"242","Idaho",2022-12-03,189
"243","Idaho",2022-12-10,195
"244","Idaho",2022-12-17,283
"245","Idaho",2022-12-24,203
"246","Idaho",2022-12-31,219
"247","Idaho",2023-01-07,100
"248","Illinois",2022-09-03,10
"249","Illinois",2022-09-10,3
"250","Illinois",2022-09-17,5
"251","Illinois",2022-09-24,16
"252","Illinois",2022-10-01,11
"253","Illinois",2022-10-08,11
"254","Illinois",2022-10-15,31
"255","Illinois",2022-10-22,45
"256","Illinois",2022-10-29,104
"257","Illinois",2022-11-05,181
"258","Illinois",2022-11-12,276
"259","Illinois",2022-11-19,447
"260","Illinois",2022-11-26,915
"261","Illinois",2022-12-03,1125
"262","Illinois",2022-12-10,973
