"model","target_end_date","target","coverage95"
"CEPH-Rtrend_fluH",2024-01-20,"1 wk inc flu hosp","0.942307692307692"
"CEPH-Rtrend_fluH",2024-01-20,"2 wk inc flu hosp","0.653846153846154"
"CEPH-Rtrend_fluH",2024-01-20,"3 wk inc flu hosp","0.615384615384615"
"CEPH-Rtrend_fluH",2024-01-27,"0 wk inc flu hosp","0.5"
"CEPH-Rtrend_fluH",2024-01-27,"1 wk inc flu hosp","0.923076923076923"
"CEPH-Rtrend_fluH",2024-01-27,"2 wk inc flu hosp","0.807692307692308"
"CEPH-Rtrend_fluH",2024-01-27,"3 wk inc flu hosp","0.826923076923077"
"CEPH-Rtrend_fluH",2024-02-03,"0 wk inc flu hosp","0.884615384615385"
"CEPH-Rtrend_fluH",2024-02-03,"1 wk inc flu hosp","0.346153846153846"
"CEPH-Rtrend_fluH",2024-02-03,"2 wk inc flu hosp","0.788461538461538"
"CEPH-Rtrend_fluH",2024-02-03,"3 wk inc flu hosp","0.634615384615385"
"CEPH-Rtrend_fluH",2024-02-10,"0 wk inc flu hosp","0.826923076923077"
"CEPH-Rtrend_fluH",2024-02-10,"1 wk inc flu hosp","0.884615384615385"
"CEPH-Rtrend_fluH",2024-02-10,"2 wk inc flu hosp","0.307692307692308"
"CEPH-Rtrend_fluH",2024-02-10,"3 wk inc flu hosp","0.596153846153846"
"CEPH-Rtrend_fluH",2024-02-17,"0 wk inc flu hosp","0.865384615384615"
"CEPH-Rtrend_fluH",2024-02-17,"1 wk inc flu hosp","0.807692307692308"
"CEPH-Rtrend_fluH",2024-02-17,"2 wk inc flu hosp","0.807692307692308"
"CEPH-Rtrend_fluH",2024-02-17,"3 wk inc flu hosp","0.230769230769231"
"CEPH-Rtrend_fluH",2024-02-24,"0 wk inc flu hosp","0.865384615384615"
"CEPH-Rtrend_fluH",2024-02-24,"1 wk inc flu hosp","0.865384615384615"
"CEPH-Rtrend_fluH",2024-02-24,"2 wk inc flu hosp","0.75"
"CEPH-Rtrend_fluH",2024-02-24,"3 wk inc flu hosp","0.711538461538462"
"CEPH-Rtrend_fluH",2024-03-02,"0 wk inc flu hosp","0.769230769230769"
"CEPH-Rtrend_fluH",2024-03-02,"1 wk inc flu hosp","0.942307692307692"
"CEPH-Rtrend_fluH",2024-03-02,"2 wk inc flu hosp","0.826923076923077"
"CEPH-Rtrend_fluH",2024-03-02,"3 wk inc flu hosp","0.730769230769231"
"CEPH-Rtrend_fluH",2024-03-09,"0 wk inc flu hosp","0.961538461538462"
"CEPH-Rtrend_fluH",2024-03-09,"1 wk inc flu hosp","0.826923076923077"
"CEPH-Rtrend_fluH",2024-03-09,"2 wk inc flu hosp","0.961538461538462"
"CEPH-Rtrend_fluH",2024-03-09,"3 wk inc flu hosp","0.846153846153846"
"CEPH-Rtrend_fluH",2024-03-16,"0 wk inc flu hosp","0.903846153846154"
