"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","Flusight-baseline"
"7","Flusight-ensemble"
"8","GT-FluFNP"
"9","ISU_NiemiLab-Flu"
"10","JHU_IDD-CovidSP"
"11","LosAlamos_NAU-CModel_Flu"
"12","LUcompUncertLab-humanjudgment"
"13","MIGHTE-Nsemble"
"14","MOBS-GLEAM_FLUH"
"15","PSI-DICE"
"16","SGroup-RandomForest"
"17","SigSci-CREG"
"18","SigSci-TSENS"
"19","UGA_flucast-OKeeffe"
"20","UMass-trends_ensemble"
"21","UNC_IDD-InfluPaint"
"22","UVAFluX-Ensemble"
"23","VTSanghani-ExogModel"
