"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","Flusight-baseline"
"5","GT-FluFNP"
"6","LUcompUncertLab-ensemble_rclp"
"7","LUcompUncertLab-KalmanFilter"
"8","MOBS-GLEAM_FLUH"
"9","NIH-Flu_ARIMA"
"10","PSI-DICE"
"11","SGroup-RandomForest"
"12","SigSci-CREG"
"13","SigSci-TSENS"
"14","UGA_flucast-OKeeffe"
"15","UMass-trends_ensemble"
"16","UVAFluX-Ensemble"
"17","VTSanghani-ExogModel"
