"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","GT-FluFNP"
"6","ISU_NiemiLab-Flu"
"7","LosAlamos_NAU-CModel_Flu"
"8","LUcompUncertLab-hier_mech_model"
"9","LUcompUncertLab-humanjudgment"
"10","LUcompUncertLab-KalmanFilter"
"11","MIGHTE-Nsemble"
"12","MOBS-GLEAM_FLUH"
"13","NIH-Flu_ARIMA"
"14","PSI-DICE"
"15","SigSci-CREG"
"16","SigSci-TSENS"
"17","UGuelph-FluPLUG"
"18","UMass-gbq"
"19","UMass-trends_ensemble"
"20","UNC_IDD-InfluPaint"
"21","UVAFluX-Ensemble"
"22","VTSanghani-ExogModel"
