"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","Flusight-baseline"
"5","GT-FluFNP"
"6","JHU_IDD-CovidSP"
"7","LUcompUncertLab-ensemble_rclp"
"8","LUcompUncertLab-hier_mech_model"
"9","LUcompUncertLab-KalmanFilter"
"10","MIGHTE-Nsemble"
"11","MOBS-GLEAM_FLUH"
"12","NIH-Flu_ARIMA"
"13","PSI-DICE"
"14","SGroup-RandomForest"
"15","SigSci-CREG"
"16","SigSci-TSENS"
"17","UGA_flucast-OKeeffe"
"18","UGuelph-FluPLUG"
"19","UMass-trends_ensemble"
"20","UVAFluX-Ensemble"
"21","VTSanghani-ExogModel"
