"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","GT-FluFNP"
"7","ISU_NiemiLab-Flu"
"8","LosAlamos_NAU-CModel_Flu"
"9","LUcompUncertLab-ensemble_rclp"
"10","LUcompUncertLab-hier_mech_model"
"11","LUcompUncertLab-humanjudgment"
"12","LUcompUncertLab-KalmanFilter"
"13","MIGHTE-Nsemble"
"14","MOBS-GLEAM_FLUH"
"15","NIH-Flu_ARIMA"
"16","PSI-DICE"
"17","SGroup-RandomForest"
"18","SigSci-CREG"
"19","SigSci-TSENS"
"20","UGA_flucast-OKeeffe"
"21","UGuelph-FluPLUG"
"22","UMass-gbq"
"23","UMass-trends_ensemble"
"24","UNC_IDD-InfluPaint"
"25","UVAFluX-Ensemble"
"26","VTSanghani-ExogModel"
