"model","location_name","wis","rel_wis","mae","below","Percent.Cov.50","Percent.Cov.95"
"CU-ensemble","Mississippi",5.18,1,8.19,0,0.708333333333333,0.986111111111111
"CU-ensemble","Missouri",10.77,0.98,17.18,1,0.430555555555556,0.888888888888889
"CU-ensemble","Montana",5.07,1.12,8.35,0,0.458333333333333,0.861111111111111
"CU-ensemble","Nebraska",9.03,1.06,12.93,0,0.430555555555556,0.75
"CU-ensemble","Nevada",26.91,1.22,39.19,0,0.291666666666667,0.555555555555556
"CU-ensemble","New Hampshire",5.71,1.15,8.21,0,0.375,0.763888888888889
"CU-ensemble","New Jersey",19.93,0.81,28.96,1,0.333333333333333,0.736111111111111
"CU-ensemble","New Mexico",11.92,0.86,17.49,1,0.333333333333333,0.694444444444444
"CU-ensemble","New York",55.99,1.03,73.35,0,0.277777777777778,0.541666666666667
"CU-ensemble","North Carolina",11.63,0.93,18.92,1,0.555555555555556,0.944444444444444
"CU-ensemble","North Dakota",5.41,2.91,6.33,0,0.611111111111111,0.888888888888889
"CU-ensemble","Ohio",20.04,1.13,31.54,0,0.416666666666667,0.847222222222222
"CU-ensemble","Oklahoma",16.12,0.77,24.62,1,0.541666666666667,0.888888888888889
"CU-ensemble","Oregon",7.62,1.27,11.17,0,0.291666666666667,0.638888888888889
"CU-ensemble","Pennsylvania",37.13,1.18,53.4,0,0.277777777777778,0.652777777777778
"CU-ensemble","Puerto Rico",25.79,1.44,33.04,0,0.430555555555556,0.736111111111111
"CU-ensemble","Rhode Island",2.28,1.06,3.31,0,0.583333333333333,0.791666666666667
"CU-ensemble","South Carolina",10.41,1.97,15.79,0,0.458333333333333,0.847222222222222
"CU-ensemble","South Dakota",3.12,0.99,5,1,0.625,0.930555555555556
"CU-ensemble","Tennessee",7.28,0.9,10.89,1,0.597222222222222,0.902777777777778
"CU-ensemble","Texas",79.52,0.87,102.44,1,0.513888888888889,0.819444444444444
"CU-ensemble","Utah",3.61,1.08,5.75,0,0.430555555555556,0.819444444444444
"CU-ensemble","Vermont",2.05,0.79,2.93,1,0.611111111111111,0.777777777777778
"CU-ensemble","Virginia",7.21,1.04,11.69,0,0.652777777777778,0.986111111111111
"CU-ensemble","Washington",12.43,1.12,17.86,0,0.222222222222222,0.625
"CU-ensemble","West Virginia",13.25,1.46,19.46,0,0.347222222222222,0.694444444444444
"CU-ensemble","Wisconsin",10.62,1.01,16.51,0,0.472222222222222,0.833333333333333
"CU-ensemble","Wyoming",2.02,0.99,3.36,1,0.708333333333333,0.986111111111111
"Flusight-baseline","Alabama",5.68,1,7.76,0,0.861111111111111,1
"Flusight-baseline","Alaska",2.57,1,3.6,0,0.777777777777778,0.916666666666667
"Flusight-baseline","Arizona",36.9,1,55.18,0,0.319444444444444,0.861111111111111
"Flusight-baseline","Arkansas",13.39,1,19.75,0,0.416666666666667,0.722222222222222
"Flusight-baseline","California",65.84,1,87.68,0,0.152777777777778,0.5
"Flusight-baseline","Colorado",36.99,1,53.11,0,0.194444444444444,0.597222222222222
"Flusight-baseline","Connecticut",13.74,1,20.24,0,0.222222222222222,0.569444444444444
"Flusight-baseline","Delaware",5.43,1,7.38,0,0.583333333333333,0.888888888888889
"Flusight-baseline","District of Columbia",1.06,1,1.75,0,0.736111111111111,0.972222222222222
"Flusight-baseline","Florida",101.54,1,128.19,0,0.236111111111111,0.5
"Flusight-baseline","Georgia",8.5,1,13.22,0,0.708333333333333,1
"Flusight-baseline","Hawaii",2.43,1,3.28,0,0.375,0.736111111111111
"Flusight-baseline","Idaho",3.31,1,4.58,0,0.430555555555556,0.847222222222222
"Flusight-baseline","Illinois",23.82,1,34.86,0,0.347222222222222,0.708333333333333
"Flusight-baseline","Indiana",18.61,1,29.69,0,0.527777777777778,0.930555555555556
"Flusight-baseline","Iowa",7,1,11.24,0,0.513888888888889,0.972222222222222
"Flusight-baseline","Kansas",5.61,1,8.96,0,0.722222222222222,0.986111111111111
"Flusight-baseline","Kentucky",17.89,1,24.44,0,0.222222222222222,0.625
"Flusight-baseline","Louisiana",6.31,1,9.64,0,0.638888888888889,1
"Flusight-baseline","Maine",7.13,1,9.99,0,0.25,0.638888888888889
"Flusight-baseline","Maryland",8.87,1,14.18,0,0.458333333333333,0.944444444444444
"Flusight-baseline","Massachusetts",38.84,1,51.42,0,0.277777777777778,0.666666666666667
"Flusight-baseline","Michigan",30.53,1,46.11,0,0.263888888888889,0.722222222222222
"Flusight-baseline","Minnesota",6.79,1,9.57,0,0.847222222222222,1
"Flusight-baseline","Mississippi",5.16,1,7.56,0,0.833333333333333,1
"Flusight-baseline","Missouri",11.03,1,17.81,0,0.666666666666667,1
"Flusight-baseline","Montana",4.51,1,6.76,0,0.652777777777778,0.916666666666667
"Flusight-baseline","Nebraska",8.5,1,12.82,0,0.611111111111111,0.902777777777778
"Flusight-baseline","Nevada",22.18,1,30.75,0,0.152777777777778,0.513888888888889
"Flusight-baseline","New Hampshire",5,1,8.31,0,0.486111111111111,0.944444444444444
"Flusight-baseline","New Jersey",24.87,1,35.79,0,0.166666666666667,0.75
"Flusight-baseline","New Mexico",13.99,1,19.79,0,0.180555555555556,0.638888888888889
"Flusight-baseline","New York",54.21,1,76.25,0,0.0833333333333333,0.583333333333333
"Flusight-baseline","North Carolina",12.51,1,17.53,0,0.680555555555556,1
"Flusight-baseline","North Dakota",1.88,1,2.06,0,0.986111111111111,1
"Flusight-baseline","Ohio",17.98,1,31.29,0,0.513888888888889,1
