"","model","target_end_date","target","season","abs_WIS","log_WIS"
"75","CEPH-Rtrend_fluH",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",7.54744983277592,0.877800234988146
"76","CEPH-Rtrend_fluH",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",5.70774247491639,0.756464370145869
"77","CEPH-Rtrend_fluH",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",5.78249163879599,0.762115013474237
"78","CEPH-Rtrend_fluH",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",5.77176421404682,0.761308581148075
"79","CMU-TimeSeries",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",4.33874581939799,0.637364208214874
"80","CMU-TimeSeries",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",6.75811036789298,0.829825280036614
"81","CMU-TimeSeries",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",6.66448160535117,0.82376637360115
"82","CMU-TimeSeries",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",8.28542642140468,0.9183148649216
"83","CMU-TimeSeries",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",23.5811204013378,1.37256443572764
"84","CMU-TimeSeries",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",7.3963127090301,0.869015264430789
"85","CMU-TimeSeries",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",15.1454598662207,1.18028246448499
"86","CMU-TimeSeries",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",9.42172240802676,0.974130304483178
"87","CMU-TimeSeries",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",22.0483695652174,1.34337647974447
"88","CMU-TimeSeries",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",9.63886287625418,0.98402580198404
"89","CMU-TimeSeries",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",37.8578344481605,1.57815576773363
"90","CMU-TimeSeries",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",8.09703177257525,0.908325843441553
"91","CMU-TimeSeries",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",28.3205685618729,1.45210196797272
"92","CMU-TimeSeries",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",9.27571070234114,0.967347195082796
"93","CMU-TimeSeries",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",19.8991304347826,1.29883409874002
"94","CMU-TimeSeries",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",9.13507525083612,0.960712129235166
"95","CMU-TimeSeries",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",13.1677006688963,1.11950994550154
"96","CMU-TimeSeries",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",10.1524498327759,1.00657085214854
"97","CMU-TimeSeries",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",16.0258361204013,1.20482069734865
"98","CMU-TimeSeries",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",9.60834448160535,0.982648565146142
"99","CMU-TimeSeries",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",16.2798494983278,1.21165038566695
"100","CMU-TimeSeries",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",7.80474080267559,0.892358484613439
"101","CMU-TimeSeries",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",16.0959280936455,1.20671602322904
"102","CMU-TimeSeries",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",9.41380434782609,0.973765167887885
"103","CMU-TimeSeries",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",19.9596989966555,1.30015398759879
"104","CMU-TimeSeries",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",6.68400501672241,0.825036767183957
"105","CMU-TimeSeries",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",23.2107608695652,1.36568937725202
"106","CMU-TimeSeries",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",8.37817725752508,0.923149544512985
"107","CMU-TimeSeries",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",17.4391973244147,1.24152649174335
"108","CMU-TimeSeries",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",7.17235785953177,0.855661950235194
"109","CMU-TimeSeries",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",14.1100919732441,1.1495298446078
"110","CMU-TimeSeries",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",3.84305183946488,0.584676242762995
"111","CMU-TimeSeries",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",11.6451588628763,1.06614541754223
"112","CMU-TimeSeries",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",13.7252508361204,1.13752029015291
"113","CMU-TimeSeries",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",7.96,0.900913067737669
"114","CMU-TimeSeries",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",5.13803511705686,0.710797068223806
"115","CMU-TimeSeries",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",7.574372909699,0.879346682965656
"116","CMU-TimeSeries",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",27.2572122762148,1.43548143642285
"117","CMU-TimeSeries",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",18.5924434782609,1.2693364698897
"118","CMU-TimeSeries",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",23.094381270903,1.36350633141339
"119","CMU-TimeSeries",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",107.35860367893,2.03083685436665
"120","CMU-TimeSeries",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",36.3093577075099,1.56001856655125
"121","CMU-TimeSeries",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",119.932779198636,2.07893789769012
"122","CMU-TimeSeries",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",109.99703052729,2.04138096113078
"123","CMU-TimeSeries",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",184.36867826087,2.26568714223891
"124","CMU-TimeSeries",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",82.973023255814,1.91893691459895
"125","CMU-TimeSeries",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",203.955961538462,2.30953640406556
"126","CMU-TimeSeries",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",105.352101449275,2.02264320286507
"127","CMU-TimeSeries",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",170.080553359684,2.23065466016526
"128","CMU-TimeSeries",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",51.2061622073579,1.70932222760896
"129","CMU-TimeSeries",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",127.198214616096,2.10448101549621
"130","CMU-TimeSeries",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",43.0057190635452,1.63352621354662
"131","CMU-TimeSeries",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",104.248190091001,2.01806852369074
"132","CMU-TimeSeries",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",36.3152842809365,1.56008944822642
"133","CMU-TimeSeries",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",231.638432971015,2.3648106182785
"134","CMU-TimeSeries",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",64.264640831758,1.80797208465852
"135","CMU-TimeSeries",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",134.549682274247,2.12888267655757
"136","CMU-TimeSeries",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",78.1993849416755,1.89320333723521
"137","CMU-TimeSeries",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",108.307408026756,2.03465816258203
"138","CMU-TimeSeries",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",17.0869151138716,1.23266366190416
"139","CMU-TimeSeries",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",121.045643812709,2.08294916468114
"140","CMU-TimeSeries",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",9.58854691075515,0.981752797321263
"141","CMU-TimeSeries",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",113.854763705104,2.05635120629555
"142","CMU-TimeSeries",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",9.57909262759924,0.981324372806109
"143","CMU-TimeSeries",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",95.2186426299046,1.9787219861855
"144","CMU-TimeSeries",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",8.74385451505017,0.941702922976808
"145","CMU-TimeSeries",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",28.7840476190476,1.45915186447954
"146","CMU-TimeSeries",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",7.81785270629991,0.893087483767785
"147","CMU-TimeSeries",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",14.712356979405,1.16768225404302
"148","CMU-TimeSeries",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",7.2672491638796,0.861370050607865
"149","CMU-TimeSeries",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",9.84156899810964,0.993064341612375
"150","CMU-TimeSeries",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",6.08612040133779,0.784340539727602
"151","CMU-TimeSeries",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",9.30311872909699,0.968628563584381
"152","CMU-TimeSeries",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",5.08785953177258,0.706535112581755
"153","CMU-TimeSeries",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",9.49188997338066,0.977352695387001
"154","CMU-TimeSeries",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",9.8746906354515,0.994523498483723
"155","CMU-TimeSeries",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",8.68980769230769,0.939010165505775
"156","CMU-TimeSeries",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",5.07612876254181,0.7055326300011
"157","CMU-TimeSeries",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",7.67204849498328,0.884911339344708
"158","CMU-TimeSeries",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",3.81857023411371,0.58190078289397
"159","CMU-TimeSeries",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",6.60379598662207,0.81979364798675
"160","CMU-TimeSeries",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",5.01117892976589,0.699939909991055
"161","CMU-TimeSeries",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",5.9994397993311,0.778110699814033
"162","CMU-TimeSeries",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",5.07766722408027,0.705664235040785
"163","CMU-TimeSeries",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",5.12827759197324,0.709971525363978
"164","CMU-TimeSeries",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",4.84382107023411,0.685188092017419
"165","CMU-TimeSeries",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",4.90964046822742,0.691049690008528
"166","CMU-TimeSeries",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",4.47788461538462,0.651072898633951
"167","CU-ensemble",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",4.62155518394649,0.664788143121916
"168","CU-ensemble",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",7.53848662207358,0.877284168462497
"169","CU-ensemble",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",6.91422240802676,0.839743345270784
"170","CU-ensemble",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",11.4786287625418,1.0598900103241
"171","CU-ensemble",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",18.154983277592,1.25899585322397
"172","CU-ensemble",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",17.8962123745819,1.25276112489734
"173","CU-ensemble",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",17.2924581939799,1.23785673440735
"174","CU-ensemble",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",14.8384615384615,1.17138887533705
"175","CU-ensemble",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",17.8500334448161,1.25163903416728
"176","CU-ensemble",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",9.47608695652174,0.97662903733611
"177","CU-ensemble",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",27.0082859531773,1.43149702311016
"178","CU-ensemble",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",10.7505936454849,1.03143244656231
"179","CU-ensemble",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",22.8003260869565,1.35794105826156
"180","CU-ensemble",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",11.4277090301003,1.05795917393764
"181","CU-ensemble",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",38.6707775919732,1.58738290495405
"182","CU-ensemble",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",14.157508361204,1.1509868267862
"183","CU-ensemble",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",24.0002759197324,1.38021623461696
"184","CU-ensemble",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",13.1454431438127,1.11877523111706
"185","CU-ensemble",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",24.269347826087,1.38505810598429
"186","CU-ensemble",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",12.0972073578595,1.08268512494028
"187","CU-ensemble",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",29.1581939799331,1.46476062085172
"188","CU-ensemble",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",10.1464966555184,1.00631611655343
"189","CU-ensemble",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",33.7828929765886,1.52869683735966
"190","CU-ensemble",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",10.115643812709,1.00499352876861
"191","CU-ensemble",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",30.1748411371237,1.47964499232524
"192","CU-ensemble",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",6.66109531772575,0.823545648289218
"193","CU-ensemble",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",34.6217642140468,1.53934919435693
"194","CU-ensemble",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",10.5917224080268,1.02496659008637
"195","CU-ensemble",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",33.8711705685619,1.52983020587647
"196","CU-ensemble",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",9.26164715719064,0.966688231569987
"197","CU-ensemble",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",34.3336287625418,1.53571970695803
"198","CU-ensemble",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",4.87205685618729,0.687712347807151
"199","CU-ensemble",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",31.034991638796,1.49185163271722
"200","CU-ensemble",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",31.3621655518395,1.49640604300294
"201","CU-ensemble",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",36.2566053511706,1.55938713935492
"202","CU-ensemble",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",14.2534949832776,1.15392136721095
"203","CU-ensemble",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",11.036897993311,1.04284702867502
"204","CU-ensemble",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",25.247516722408,1.40221866852235
"205","CU-ensemble",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",32.1276086956522,1.50687840158851
"206","CU-ensemble",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",35.9277257525084,1.55542972696262
"207","CU-ensemble",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",83.2473244147157,1.9203702840931
"208","CU-ensemble",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",53.979356187291,1.73222770041364
"209","CU-ensemble",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",116.56860367893,2.06658159429031
"210","CU-ensemble",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",129.776287625418,2.11319534659222
"211","CU-ensemble",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",224.495894648829,2.35120840347893
"212","CU-ensemble",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",79.9846822742475,1.90300682398289
"213","CU-ensemble",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",277.274498327759,2.44290992819731
"214","CU-ensemble",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",55.994389632107,1.74814451497265
"215","CU-ensemble",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",228.678486622074,2.35922530942182
"216","CU-ensemble",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",62.4819816053512,1.79575479466281
"217","CU-ensemble",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",206.429406354515,2.31477156363262
"218","CU-ensemble",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",58.004372909699,1.76346073595886
"219","CU-ensemble",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",297.289531772575,2.47317961699691
"220","CU-ensemble",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",169.330225752508,2.22873448738165
"221","CU-ensemble",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",72.9510785953177,1.86303171740194
"222","CU-ensemble",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",166.983662207358,2.22267398156501
"223","CU-ensemble",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",57.0913879598662,1.75657060135287
"224","CU-ensemble",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",210.473461538462,2.32319734371565
"225","CU-ensemble",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",14.6897575250836,1.16701462721386
"226","CU-ensemble",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",177.356471571906,2.24884704009688
"227","CU-ensemble",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",9.26051839464883,0.966635298737428
"228","CU-ensemble",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",73.8419314381271,1.86830304774091
"229","CU-ensemble",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",8.77193143812709,0.943095228550465
"230","CU-ensemble",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",21.1265886287625,1.32482937593012
"231","CU-ensemble",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",7.51914715719063,0.87616858448389
"232","CU-ensemble",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",5.82275919732442,0.765128830046946
"233","CU-ensemble",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",11.9414214046823,1.07705602457133
"234","CU-ensemble",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",6.38764214046823,0.805340577351641
"235","CU-ensemble",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",10.8133946488294,1.03396205341866
"236","CU-ensemble",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",6.01019230769231,0.778888368314457
"237","CU-ensemble",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",9.76403010033445,0.989629109580567
"238","CU-ensemble",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",5.80119565217391,0.763517512808852
"239","CU-ensemble",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",10.4664464882943,1.0197992573735
