"","model","target_end_date","target","season","abs_WIS","log_WIS"
"1","CEID-Walk",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",6.99056856187291,0.844512499528554
"2","CEID-Walk",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",8.78978260869565,0.943978134116844
"3","CEID-Walk",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",15.4306605351171,1.18838451715948
"4","CEID-Walk",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",25.0153428093645,1.39820645881628
"5","CEID-Walk",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",12.6680936454849,1.10271126511723
"6","CEID-Walk",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",22.5924331103679,1.35396300513481
"7","CEID-Walk",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",12.9805100334448,1.11329175720695
"8","CEID-Walk",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",24.384974916388,1.38712231319066
"9","CEID-Walk",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",12.1384113712375,1.08416185166088
"10","CEID-Walk",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",25.1517642140468,1.40056845307201
"11","CEID-Walk",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",12.3019481605351,1.08997389260799
"12","CEID-Walk",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",29.0554849498328,1.46322812841629
"13","CEID-Walk",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",10.2314715719064,1.00993810190342
"14","CEID-Walk",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",10.8429765886288,1.03514852007722
"15","CEID-Walk",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",18.5111872909699,1.26743427490526
"16","CEID-Walk",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",11.3783277591973,1.05607843971129
"17","CEID-Walk",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",19.8883695652174,1.29859918142244
"18","CEID-Walk",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",12.2211789297659,1.08711310263285
"19","CEID-Walk",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",22.1767224080268,1.34589736033024
"20","CEID-Walk",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",11.1305769230769,1.04651767538729
"21","CEID-Walk",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",23.0345819397993,1.3623803345446
"22","CEID-Walk",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",10.3608695652174,1.01539620632886
"23","CEID-Walk",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",27.4230100334448,1.43811512256033
"24","CEID-Walk",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",7.56989130434783,0.879089643534306
"25","CEID-Walk",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",22.6833779264214,1.3557077285969
"26","CEID-Walk",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",7.19270066889632,0.856891987097457
"27","CEID-Walk",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",18.0795401337793,1.25718737968459
"28","CEID-Walk",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",4.94849498327759,0.694473134318927
"29","CEID-Walk",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",13.1437040133779,1.11871777054234
"30","CEID-Walk",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",16.3776337792642,1.21425115561483
"31","CEID-Walk",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",15.1453595317726,1.18027958739562
"32","CEID-Walk",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",10.7388461538462,1.0309576206617
"33","CEPH-Rtrend_fluH",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",53.7759949832776,1.7305884546104
"34","CEPH-Rtrend_fluH",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",47.1615133779264,1.67358773283393
"35","CEPH-Rtrend_fluH",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",201.99504180602,2.30534070933418
"36","CEPH-Rtrend_fluH",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",65.4608528428094,1.8159816591222
"37","CEPH-Rtrend_fluH",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",303.383829431438,2.48199242887045
"38","CEPH-Rtrend_fluH",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",179.036856187291,2.25294244322081
"39","CEPH-Rtrend_fluH",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",231.143787625418,2.36388222554284
"40","CEPH-Rtrend_fluH",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",62.2859364548495,1.79438999835204
"41","CEPH-Rtrend_fluH",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",201.461128762542,2.30419126292155
"42","CEPH-Rtrend_fluH",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",56.2358277591973,1.75001309209048
"43","CEPH-Rtrend_fluH",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",232.789607023411,2.36696358717571
"44","CEPH-Rtrend_fluH",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",41.6008779264214,1.619102495881
"45","CEPH-Rtrend_fluH",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",396.119607023411,2.59782633952959
"46","CEPH-Rtrend_fluH",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",91.0951086956522,1.95949505838335
"47","CEPH-Rtrend_fluH",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",121.928436454849,2.08610500467654
"48","CEPH-Rtrend_fluH",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",58.1202591973244,1.76432754244148
"49","CEPH-Rtrend_fluH",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",72.3634782608696,1.85951943371565
"50","CEPH-Rtrend_fluH",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",21.4464799331104,1.33135602047982
"51","CEPH-Rtrend_fluH",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",34.7008361204013,1.54033993928948
"52","CEPH-Rtrend_fluH",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",13.1277424749164,1.11819004863464
"53","CEPH-Rtrend_fluH",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",48.3155016722408,1.68408649328973
"54","CEPH-Rtrend_fluH",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",16.2115050167224,1.20982333502846
"55","CEPH-Rtrend_fluH",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",12.8801337792642,1.10992037383858
"56","CEPH-Rtrend_fluH",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",11.008779264214,1.04173916382111
"57","CEPH-Rtrend_fluH",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",35.1294397993311,1.54567122425832
"58","CEPH-Rtrend_fluH",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",9.83153010033445,0.992621113195259
"59","CEPH-Rtrend_fluH",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",29.6844230769231,1.47252861273846
"60","CEPH-Rtrend_fluH",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",8.98622909698997,0.953577486401484
"61","CEPH-Rtrend_fluH",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",27.0645484949833,1.4324007863588
"62","CEPH-Rtrend_fluH",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",6.51654682274247,0.814017520101703
"63","CEPH-Rtrend_fluH",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",19.6375501672241,1.29308730752331
"64","CEPH-Rtrend_fluH",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",5.77117892976589,0.761264539393627
"65","CEPH-Rtrend_fluH",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",16.8742224080268,1.22722376895883
"66","CEPH-Rtrend_fluH",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",5.47646321070234,0.738500174550349
"67","CEPH-Rtrend_fluH",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",16.5052508361204,1.21762212884295
"68","CEPH-Rtrend_fluH",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",4.36879598662207,0.640361764564685
"69","CEPH-Rtrend_fluH",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",15.6095986622074,1.19339173707719
"70","CEPH-Rtrend_fluH",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",3.7010618729097,0.568326345521659
"71","CEPH-Rtrend_fluH",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",9.62848662207358,0.983558031326794
"72","CEPH-Rtrend_fluH",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",4.13112876254181,0.616068731648065
"73","CEPH-Rtrend_fluH",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",7.95933110367893,0.90087657148296
"74","CEPH-Rtrend_fluH",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",4.1033110367893,0.613134438351618
