"model","target_end_date","target","season","abs_WIS","log_WIS"
"CU-ensemble",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",14.8384615384615,1.17138887533705
"CU-ensemble",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",17.85,1.25163822044821
"CU-ensemble",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",9.47615384615385,0.976632102915365
"CU-ensemble",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",27.0090384615385,1.4315091233107
"CU-ensemble",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",10.7501923076923,1.03141623331419
"CU-ensemble",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",22.8011538461538,1.35795682491002
"CU-ensemble",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",11.4280769230769,1.05797315498297
"CU-ensemble",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",38.6705769230769,1.58738065132416
"CU-ensemble",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",14.1576923076923,1.15099246947585
"CU-ensemble",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",23.9998076923077,1.38020776177393
"CU-ensemble",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",13.1448076923077,1.11875423678848
"CU-ensemble",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",24.2698076923077,1.38506633510818
"CU-ensemble",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",12.0971153846154,1.08268182305224
"CU-ensemble",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",29.1575,1.46475028429787
"CU-ensemble",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",10.1465384615385,1.00631790594804
"CU-ensemble",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",33.7832692307692,1.52870167425166
"CU-ensemble",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",10.1155769230769,1.00499065698954
"CU-ensemble",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",30.1748076923077,1.47964451096704
"CU-ensemble",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",6.66115384615385,0.823549464247476
"CU-ensemble",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",34.6213461538462,1.53934395018932
"CU-ensemble",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",10.5915384615385,1.02495904762676
"CU-ensemble",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",33.8711538461538,1.52982999146253
"CU-ensemble",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",9.26134615384615,0.96667411677878
"CU-ensemble",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",34.3326923076923,1.53570786134966
"CU-ensemble",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",4.87269230769231,0.687768988173752
