"model","target_end_date","target","season","coverage95","model_color"
"Flusight-baseline",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#d6936b"
"Flusight-baseline",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",0.596153846153846,"#d6936b"
"Flusight-baseline",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",0.519230769230769,"#d6936b"
"Flusight-baseline",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",0.596153846153846,"#d6936b"
"Flusight-baseline",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",0.346153846153846,"#d6936b"
"Flusight-baseline",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",0.461538461538462,"#d6936b"
"Flusight-baseline",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",0.269230769230769,"#d6936b"
"Flusight-baseline",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",0.192307692307692,"#d6936b"
"Flusight-baseline",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",0.0961538461538462,"#d6936b"
"Flusight-baseline",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",0.25,"#d6936b"
"Flusight-baseline",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",0.115384615384615,"#d6936b"
"Flusight-baseline",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#d6936b"
"Flusight-baseline",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",0.115384615384615,"#d6936b"
"Flusight-baseline",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",0.403846153846154,"#d6936b"
"Flusight-baseline",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#d6936b"
"Flusight-baseline",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#d6936b"
"Flusight-baseline",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",0.403846153846154,"#d6936b"
"Flusight-baseline",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#d6936b"
"Flusight-baseline",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",0.384615384615385,"#d6936b"
"Flusight-baseline",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#d6936b"
"Flusight-baseline",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",0.461538461538462,"#d6936b"
"Flusight-baseline",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",0.384615384615385,"#d6936b"
"Flusight-baseline",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",0.269230769230769,"#d6936b"
"Flusight-baseline",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",0.211538461538462,"#d6936b"
"Flusight-baseline",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",0.192307692307692,"#d6936b"
"Flusight-baseline",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",0.442307692307692,"#d6936b"
"Flusight-baseline",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#d6936b"
"Flusight-baseline",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
