"","report_date","state","value","location_name","final_value","truth_date","final_perc_change","absolutediff","season"
"135",2022-02-12,"ND",5,NA,NA,NA,NA,NA,"A) 2021-2022"
"136",2022-02-12,"NE",26,NA,NA,NA,NA,NA,"A) 2021-2022"
"137",2022-02-12,"NH",11,NA,NA,NA,NA,NA,"A) 2021-2022"
"138",2022-02-12,"NJ",25,NA,NA,NA,NA,NA,"A) 2021-2022"
"139",2022-02-12,"NM",7,NA,NA,NA,NA,NA,"A) 2021-2022"
"140",2022-02-12,"NV",14,NA,NA,NA,NA,NA,"A) 2021-2022"
"141",2022-02-12,"NY",28,NA,NA,NA,NA,NA,"A) 2021-2022"
"142",2022-02-12,"OH",26,NA,NA,NA,NA,NA,"A) 2021-2022"
"143",2022-02-12,"OK",65,NA,NA,NA,NA,NA,"A) 2021-2022"
"144",2022-02-12,"OR",2,NA,NA,NA,NA,NA,"A) 2021-2022"
"145",2022-02-12,"PA",62,NA,NA,NA,NA,NA,"A) 2021-2022"
"146",2022-02-12,"PR",21,NA,NA,NA,NA,NA,"A) 2021-2022"
"147",2022-02-12,"RI",0,NA,NA,NA,NA,NA,"A) 2021-2022"
"148",2022-02-12,"SC",18,NA,NA,NA,NA,NA,"A) 2021-2022"
"149",2022-02-12,"SD",19,NA,NA,NA,NA,NA,"A) 2021-2022"
"150",2022-02-12,"TN",22,NA,NA,NA,NA,NA,"A) 2021-2022"
"151",2022-02-12,"TX",173,NA,NA,NA,NA,NA,"A) 2021-2022"
"152",2022-02-12,"UT",4,NA,NA,NA,NA,NA,"A) 2021-2022"
"153",2022-02-12,"VA",38,NA,NA,NA,NA,NA,"A) 2021-2022"
"154",2022-02-12,"VT",0,NA,NA,NA,NA,NA,"A) 2021-2022"
"155",2022-02-12,"WA",8,NA,NA,NA,NA,NA,"A) 2021-2022"
"156",2022-02-12,"WI",31,NA,NA,NA,NA,NA,"A) 2021-2022"
"157",2022-02-12,"WV",5,NA,NA,NA,NA,NA,"A) 2021-2022"
"158",2022-02-12,"WY",2,NA,NA,NA,NA,NA,"A) 2021-2022"
"159",2022-02-12,"US",1239,NA,NA,NA,NA,NA,"A) 2021-2022"
"160",2022-02-19,"AK",0,NA,NA,NA,NA,NA,"A) 2021-2022"
"161",2022-02-19,"AL",20,NA,NA,NA,NA,NA,"A) 2021-2022"
"162",2022-02-19,"AR",34,NA,NA,NA,NA,NA,"A) 2021-2022"
"163",2022-02-19,"AZ",67,NA,NA,NA,NA,NA,"A) 2021-2022"
"164",2022-02-19,"CA",18,NA,NA,NA,NA,NA,"A) 2021-2022"
"165",2022-02-19,"CO",19,NA,NA,NA,NA,NA,"A) 2021-2022"
"166",2022-02-19,"CT",3,NA,NA,NA,NA,NA,"A) 2021-2022"
"167",2022-02-19,"DC",0,NA,NA,NA,NA,NA,"A) 2021-2022"
"168",2022-02-19,"DE",3,NA,NA,NA,NA,NA,"A) 2021-2022"
"169",2022-02-19,"FL",69,NA,NA,NA,NA,NA,"A) 2021-2022"
"170",2022-02-19,"GA",47,NA,NA,NA,NA,NA,"A) 2021-2022"
"171",2022-02-19,"HI",0,NA,NA,NA,NA,NA,"A) 2021-2022"
"172",2022-02-19,"IA",44,NA,NA,NA,NA,NA,"A) 2021-2022"
"173",2022-02-19,"ID",0,NA,NA,NA,NA,NA,"A) 2021-2022"
"174",2022-02-19,"IL",25,NA,NA,NA,NA,NA,"A) 2021-2022"
"175",2022-02-19,"IN",58,NA,NA,NA,NA,NA,"A) 2021-2022"
"176",2022-02-19,"KS",21,NA,NA,NA,NA,NA,"A) 2021-2022"
"177",2022-02-19,"KY",20,NA,NA,NA,NA,NA,"A) 2021-2022"
