"","model","target_end_date","target","season","abs_WIS","log_WIS"
"49","Flusight-baseline",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",281.308102006689,2.44918224054105
"50","Flusight-baseline",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",85.5175418060201,1.93205520862466
"51","Flusight-baseline",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",195.743210702341,2.29168670761047
"52","Flusight-baseline",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",53.4093311036789,1.72761713891652
"53","Flusight-baseline",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",141.262826086957,2.15002789044476
"54","Flusight-baseline",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",34.641847826087,1.53960104960598
"55","Flusight-baseline",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",175.932984949833,2.24534727117281
"56","Flusight-baseline",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",107.769046822742,2.03249404170044
"57","Flusight-baseline",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",181.866505016722,2.25975272091129
"58","Flusight-baseline",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",98.8389966555184,1.99492832809808
"59","Flusight-baseline",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",228.80025083612,2.35945649624285
"60","Flusight-baseline",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",30.6008277591973,1.48573317440281
"61","Flusight-baseline",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",236.84360367893,2.37446166044056
"62","Flusight-baseline",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",16.5077591973244,1.21768812509295
"63","Flusight-baseline",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",266.112341137124,2.42506501571438
"64","Flusight-baseline",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",9.51876254180602,0.978580492901634
"65","Flusight-baseline",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",152.315342809365,2.1827436522647
"66","Flusight-baseline",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",7.66267558528428,0.884380439219311
"67","Flusight-baseline",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",49.1245735785953,1.69129879354599
"68","Flusight-baseline",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",8.06870401337793,0.90680378440763
"69","Flusight-baseline",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",26.4831772575251,1.42297008736261
"70","Flusight-baseline",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",5.77975752508361,0.761909619090587
"71","Flusight-baseline",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",16.6596906354515,1.22166693245109
"72","Flusight-baseline",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",5.51397157190635,0.741464522706275
"73","Flusight-baseline",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",15.4967809364548,1.19024149386537
"74","Flusight-baseline",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",4.90386287625418,0.690538317766731
"75","Flusight-baseline",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",14.5021153846154,1.16143135622519
"76","Flusight-baseline",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",5.08728260869565,0.706485864226184
"77","Flusight-baseline",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",12.1841806020067,1.08579632777658
"78","Flusight-baseline",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",5.25459030100334,0.720538859860001
"79","Flusight-baseline",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",11.4961872909699,1.06055383052389
"80","Flusight-baseline",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",4.71372073578595,0.673363849189624
"81","Flusight-baseline",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",11.3905100334448,1.05654317094051
"82","Flusight-baseline",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",5.39169732441472,0.731725504071391
"83","Flusight-baseline",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",10.850635451505,1.03545517274685
"84","Flusight-baseline",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",5.2508779264214,0.720231921829653
"85","Flusight-baseline",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",11.5666722408027,1.06320842936365
"86","Flusight-baseline",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",10.3999581939799,1.01703159351413
"87","Flusight-baseline",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",10.5770234113712,1.02436346562946
"88","Flusight-baseline",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",10.2213294314381,1.00950738573888
"89","Flusight-ensemble",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",4.7886872909699,0.680216477836019
"90","Flusight-ensemble",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",6.90161371237458,0.838950647902592
"91","Flusight-ensemble",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",7.00726588628762,0.845548596836622
"92","Flusight-ensemble",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",12.3138963210702,1.09039549265512
"93","Flusight-ensemble",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",22.358720735786,1.34944695157205
"94","Flusight-ensemble",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",9.3892474916388,0.972630786800218
"95","Flusight-ensemble",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",20.6983862876254,1.31593648779033
"96","Flusight-ensemble",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",10.4594899665552,1.01951050765638
"97","Flusight-ensemble",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",21.7839966555184,1.33813756165499
"98","Flusight-ensemble",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",10.8307023411371,1.03465662033632
"99","Flusight-ensemble",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",24.3156688963211,1.38588622101444
"100","Flusight-ensemble",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",9.54070234113712,0.97958034657546
"101","Flusight-ensemble",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",24.3709531772575,1.38687251529584
"102","Flusight-ensemble",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",10.1884949832776,1.00811003594648
"103","Flusight-ensemble",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",23.7188377926421,1.37509340507131
"104","Flusight-ensemble",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",8.83755016722408,0.94633189212736
"105","Flusight-ensemble",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",15.8053678929766,1.19880460913037
"106","Flusight-ensemble",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",9.69921404682274,0.986736543652101
"107","Flusight-ensemble",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",17.6069899665552,1.24568511674809
"108","Flusight-ensemble",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",10.2205016722408,1.00947221362048
"109","Flusight-ensemble",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",18.751856187291,1.27304426363698
"110","Flusight-ensemble",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",8.795,0.94423584379348
"111","Flusight-ensemble",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",20.5596739130435,1.31301622224498
"112","Flusight-ensemble",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",8.85480769230769,0.947179133671039
"113","Flusight-ensemble",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",20.3360451505017,1.30826649744046
"114","Flusight-ensemble",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",6.22316053511706,0.794011004361656
"115","Flusight-ensemble",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",26.3651923076923,1.42103094342265
"116","Flusight-ensemble",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",8.39520066889632,0.924031081457128
"117","Flusight-ensemble",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",18.5486622073579,1.26831259228456
"118","Flusight-ensemble",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",7.7560033444816,0.889637987679694
"119","Flusight-ensemble",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",16.4788712374582,1.2169274602657
"120","Flusight-ensemble",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",4.45992474916388,0.649327531066718
"121","Flusight-ensemble",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",14.1161204013378,1.14971535395356
"122","Flusight-ensemble",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",16.9363628762542,1.22882015024674
"123","Flusight-ensemble",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",12.4866973244147,1.09644758461489
"124","Flusight-ensemble",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",6.80150501672241,0.832605022726352
"125","Flusight-ensemble",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",8.59315217391304,0.934152502669418
"126","Flusight-ensemble",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",30.7059448160535,1.48722246508199
"127","Flusight-ensemble",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",27.390610367893,1.43760171010918
"128","Flusight-ensemble",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",30.4371488294314,1.48340396788701
"129","Flusight-ensemble",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",113.53152173913,2.05511645903338
"130","Flusight-ensemble",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",45.3305602006689,1.65639108615677
