"model","season","rel_wis","One_week_abs","Two_week_abs","Three_week_abs","Four_week_abs"
"CMU-TimeSeries","2021-2022",0.74,7.89275641025641,10.3467628205128,14.050844017094,17.8672115384615
"Flusight-ensemble","2021-2022",0.82,8.59229700854701,12.1002243589744,15.7545085470085,19.0022542735043
"PSI-DICE","2021-2022",0.83,8.6974358974359,12.2610363247863,15.924561965812,19.2264209401709
"UMass-trends_ensemble","2021-2022",0.85,8.83121794871795,12.546688034188,16.259797008547,19.7715918803419
"SGroup-RandomForest","2021-2022",0.91,10.5386431623932,13.5255555555556,16.9126175213675,20.8306303418803
"CEID-Walk","2021-2022",0.93,10.44859375,13.7833413461538,17.4334855769231,20.8376923076923
"Flusight-baseline","2021-2022",1,10.6847222222222,14.926688034188,19.224594017094,23.1259188034188
"MOBS-GLEAM_FLUH","2021-2022",1.02,11.3016509433962,15.2980188679245,19.4736556603774,22.606179245283
"GT-FluFNP","2021-2022",1.03,11.1207555555556,15.4209111111111,20.2264888888889,23.4943333333333
"SigSci-TSENS","2021-2022",1.03,10.6437388392857,15.0971986607143,20.2075446428571,25.2020982142857
"IEM_Health-FluProject","2021-2022",1.05,13.1785363247863,16.1157585470085,19.3139209401709,22.1427884615385
"CU-ensemble","2021-2022",1.08,10.3327991452991,14.5601282051282,20.6630021367521,27.7164423076923
"LUcompUncertLab-TEVA","2021-2022",1.2,11.7026322115385,17.4647836538462,23.9070192307692,31.0022836538462
"UVAFluX-Ensemble","2021-2022",1.27,15.5312581344902,19.2574511930586,23.789967462039,28.0281344902386
"LUcompUncertLab-VAR2_plusCOVID","2021-2022",1.3,12.0319343891403,17.9236764705882,25.080871040724,33.100463800905
"LUcompUncertLab-VAR2K_plusCOVID","2021-2022",1.39,13.4929086538462,20.6368149038462,27.6523918269231,35.9926923076923
"UT_FluCast-Voltaire","2021-2022",1.39,10.9824865446717,18.3669967707212,27.0544133476857,38.1622066738428
"LUcompUncertLab-VAR2","2021-2022",1.53,14.6029864253394,21.4248755656109,29.7194683257919,37.9723303167421
"LUcompUncertLab-VAR2K","2021-2022",1.54,14.7789302884615,22.5559254807692,30.6287139423077,39.2564783653846
"LosAlamos_NAU-CModel_Flu","2021-2022",1.7,25.754391025641,28.1455448717949,29.9004487179487,30.952905982906
"SGroup-SIkJalpha","2021-2022",1.7,13.7941987179487,22.0053952991453,33.5194658119658,46.4444017094017
"GH-Flusight","2021-2022",1.81,17.3075113122172,28.8047058823529,34.8123076923077,42.790407239819
"SigSci-CREG","2021-2022",1.97,24.3469518072289,26.662156626506,28.359734939759,30.0575903614458
"MOBS-GLEAM_FLUH","2022-2023",0.61,30.1730972865652,42.7501588352085,48.454705493051,47.4142422236929
"CMU-TimeSeries","2022-2023",0.67,24.9985742444152,41.3698226018397,48.6508409986859,62.9138830486202
"PSI-DICE","2022-2023",0.7,23.9443238213399,42.7373014888337,58.2950248138958,64.8324193548387
"MIGHTE-Nsemble","2022-2023",0.73,NA,NA,NA,NA
"Flusight-ensemble","2022-2023",0.77,26.9371526054591,45.5973387096774,61.0070347394541,73.3275186104218
"UMass-trends_ensemble","2022-2023",0.8,26.5090136476427,45.4634305210918,63.502040942928,79.9632009925558
"GT-FluFNP","2022-2023",0.81,38.4256634078212,55.0742597765363,68.1123254189944,77.3820879888268
"SGroup-RandomForest","2022-2023",0.82,31.5538461538462,49.7981153846154,62.5563076923077,73.2642628205128
"CU-ensemble","2022-2023",0.83,29.5777218934911,53.5759763313609,73.8429437869822,91.9357026627219
"CEPH-Rtrend_fluH","2022-2023",0.84,35.2821222527473,50.2826854395604,63.988021978022,67.2510989010989
"UGA_flucast-OKeeffe","2022-2023",0.93,30.9443464052288,55.1614967320261,73.0187320261438,89.4039803921569
"VTSanghani-ExogModel","2022-2023",0.98,33.3291230769231,61.5095230769231,86.5784538461538,107.781246153846
"Flusight-baseline","2022-2023",1,33.9076488833747,58.7489516129032,80.4082320099256,97.6768486352357
"SigSci-TSENS","2022-2023",1,30.2010882548109,53.4668347710683,75.87599867286,97.5346250829462
"UNC_IDD-InfluPaint","2022-2023",1.05,39.2981318681319,61.2674725274725,72.2087205651491,71.7880062794349
"UVAFluX-Ensemble","2022-2023",1.11,38.7208300653595,66.2722549019608,91.9597124183007,117.889444444444
"SigSci-CREG","2022-2023",1.33,47.9270950102529,71.714982911825,91.5497949419002,107.511168831169
"JHU_IDD-CovidSP","2022-2023",1.88,49.1140075757576,98.0596287878788,157.567742424242,215.236548463357
