"model","target_end_date","target","season","coverage95","model_color"
"CEID-Walk",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",0.826923076923077,"#abbfcb"
"CEID-Walk",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",0.711538461538462,"#abbfcb"
"CEID-Walk",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",0.596153846153846,"#abbfcb"
"CEID-Walk",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",0.576923076923077,"#abbfcb"
"CEID-Walk",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",0.692307692307692,"#abbfcb"
"CEID-Walk",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",0.596153846153846,"#abbfcb"
"CEID-Walk",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",0.653846153846154,"#abbfcb"
"CEID-Walk",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",0.615384615384615,"#abbfcb"
"CEID-Walk",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",0.730769230769231,"#abbfcb"
"CEID-Walk",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",0.596153846153846,"#abbfcb"
"CEID-Walk",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",0.788461538461538,"#abbfcb"
"CEID-Walk",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",0.576923076923077,"#abbfcb"
"CEID-Walk",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#abbfcb"
"CEID-Walk",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",0.788461538461538,"#abbfcb"
"CEID-Walk",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CEID-Walk",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",0.865384615384615,"#abbfcb"
"CEID-Walk",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CEID-Walk",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CEID-Walk",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CEID-Walk",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#abbfcb"
"CEID-Walk",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#abbfcb"
"CEID-Walk",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#abbfcb"
"CEID-Walk",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CEID-Walk",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#abbfcb"
"CEID-Walk",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",0.865384615384615,"#abbfcb"
"CEID-Walk",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#abbfcb"
"CEID-Walk",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#abbfcb"
"CEID-Walk",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",1,"#abbfcb"
"CEID-Walk",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#abbfcb"
"CEID-Walk",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",0.980769230769231,"#abbfcb"
"CEID-Walk",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",0.980769230769231,"#abbfcb"
"CEID-Walk",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",0.980769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",0.480769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",0.480769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",0.0576923076923077,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",0.480769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",0.326923076923077,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",0.307692307692308,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",0.5,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",0.615384615384615,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",0.615384615384615,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",0.846153846153846,"#abbfcb"
"CEPH-Rtrend_fluH",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",0.403846153846154,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",0.403846153846154,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",0.576923076923077,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",0.403846153846154,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",0.557692307692308,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",0.711538461538462,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",0.826923076923077,"#abbfcb"
"CEPH-Rtrend_fluH",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",0.769230769230769,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",0.942307692307692,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",0.826923076923077,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",0.5,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",0.923076923076923,"#abbfcb"
"CEPH-Rtrend_fluH",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",0.942307692307692,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",0.692307692307692,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",0.961538461538462,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",0.884615384615385,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",0.961538461538462,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",0.923076923076923,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",0.846153846153846,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",0.942307692307692,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",0.942307692307692,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-22,"1 wk ahead inc flu hosp","2022-2023",0.961538461538462,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-29,"1 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-05-06,"1 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-05-13,"1 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#abbfcb"
"CEPH-Rtrend_fluH",2023-05-13,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-05-20,"1 wk ahead inc flu hosp","2022-2023",0.961538461538462,"#abbfcb"
"CEPH-Rtrend_fluH",2023-05-20,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-05-27,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-06-03,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CEPH-Rtrend_fluH",2023-06-10,"4 wk ahead inc flu hosp","2022-2023",1,"#abbfcb"
"CMU-TimeSeries",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#abbfcb"
"CMU-TimeSeries",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#abbfcb"
"CMU-TimeSeries",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#abbfcb"
"CMU-TimeSeries",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CMU-TimeSeries",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",0.769230769230769,"#abbfcb"
"CMU-TimeSeries",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CMU-TimeSeries",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CMU-TimeSeries",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#abbfcb"
"CMU-TimeSeries",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#abbfcb"
"CMU-TimeSeries",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#abbfcb"
"CMU-TimeSeries",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#abbfcb"
"CMU-TimeSeries",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",0.980769230769231,"#abbfcb"
"CMU-TimeSeries",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#abbfcb"
"CMU-TimeSeries",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CMU-TimeSeries",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",0.826923076923077,"#abbfcb"
"CMU-TimeSeries",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#abbfcb"
"CMU-TimeSeries",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",0.961538461538462,"#abbfcb"
"CMU-TimeSeries",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#abbfcb"
"CMU-TimeSeries",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#abbfcb"
"CMU-TimeSeries",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#abbfcb"
"CMU-TimeSeries",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",0.826923076923077,"#abbfcb"
