"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","Flusight-baseline"
"7","Flusight-ensemble"
"8","GT-FluFNP"
"9","ISU_NiemiLab-Flu"
"10","LosAlamos_NAU-CModel_Flu"
"11","LUcompUncertLab-ensemble_rclp"
"12","LUcompUncertLab-hier_mech_model"
"13","LUcompUncertLab-humanjudgment"
"14","LUcompUncertLab-KalmanFilter"
"15","MIGHTE-Nsemble"
"16","MOBS-GLEAM_FLUH"
"17","NIH-Flu_ARIMA"
"18","PSI-DICE"
"19","SGroup-RandomForest"
"20","SigSci-CREG"
"21","SigSci-TSENS"
"22","UGA_flucast-OKeeffe"
"23","UGuelph-FluPLUG"
"24","UMass-gbq"
"25","UMass-trends_ensemble"
"26","UNC_IDD-InfluPaint"
"27","UVAFluX-Ensemble"
"28","VTSanghani-ExogModel"
