"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","Flusight-baseline"
"5","GT-FluFNP"
"6","JHU_IDD-CovidSP"
"7","LUcompUncertLab-ensemble_rclp"
"8","LUcompUncertLab-hier_mech_model"
"9","LUcompUncertLab-KalmanFilter"
"10","MIGHTE-Nsemble"
"11","MOBS-GLEAM_FLUH"
"12","PSI-DICE"
"13","SGroup-RandomForest"
"14","SigSci-CREG"
"15","SigSci-TSENS"
"16","UGA_flucast-OKeeffe"
"17","UGuelph-FluPLUG"
"18","UMass-trends_ensemble"
"19","UVAFluX-Ensemble"
"20","VTSanghani-ExogModel"
