"model","Relative_WIS","below_baseline_pct","One_week_Cov","Two_week_Cov","Three_week_Cov","Four_week_Cov","One_week_Percent_above_90","Two_week_Percent_above_90","Three_week_Percent_above_90","Four_week_Percent_above_90","season"
"CEID-Walk",0.98,61.5384615384615,82.0913461538462,83.7740384615385,81.0096153846154,81.8509615384615,37.5,37.5,31.25,37.5,"2021-2022"
"CMU-TimeSeries",0.79,86.5384615384615,90.1709401709402,91.4529914529915,90.5982905982906,86.5384615384615,50,72.2222222222222,61.1111111111111,27.7777777777778,"2021-2022"
"CU-ensemble",0.98,57.6923076923077,79.5940170940171,80.6623931623932,76.4957264957265,71.9017094017094,16.6666666666667,11.1111111111111,0,0,"2021-2022"
"Flusight-baseline",1,0,82.2649572649573,84.1880341880342,82.4786324786325,81.6239316239316,27.7777777777778,22.2222222222222,22.2222222222222,22.2222222222222,"2021-2022"
"Flusight-ensemble",0.83,96.1538461538462,89.3162393162393,86.1111111111111,85.1495726495726,83.3333333333333,55.5555555555556,33.3333333333333,27.7777777777778,38.8888888888889,"2021-2022"
"GH-Flusight",1.88,3.84615384615385,18.3257918552036,12.89592760181,11.9909502262443,10.6334841628959,0,0,0,0,"2021-2022"
"GT-FluFNP",0.98,58,70.1111111111111,68.6666666666667,68.2222222222222,70.1111111111111,5.55555555555556,16.6666666666667,16.6666666666667,22.2222222222222,"2021-2022"
"IEM_Health-FluProject",1.02,48.0769230769231,91.4529914529915,86.5384615384615,82.5854700854701,78.2051282051282,72.2222222222222,38.8888888888889,22.2222222222222,22.2222222222222,"2021-2022"
"LosAlamos_NAU-CModel_Flu",1.62,11.5384615384615,65.2777777777778,59.2948717948718,56.517094017094,54.0598290598291,5.55555555555556,0,0,0,"2021-2022"
"LUcompUncertLab-TEVA",1.04,38.4615384615385,84.8557692307692,85.5769230769231,86.0576923076923,86.1778846153846,25,18.75,25,31.25,"2021-2022"
"LUcompUncertLab-VAR2",1.35,3.84615384615385,73.868778280543,72.2850678733032,72.1719457013575,70.814479638009,11.7647058823529,5.88235294117647,11.7647058823529,11.7647058823529,"2021-2022"
"LUcompUncertLab-VAR2_plusCOVID",1.08,44.2307692307692,76.6968325791855,74.7737556561086,73.3031674208145,70.1357466063348,17.6470588235294,5.88235294117647,5.88235294117647,5.88235294117647,"2021-2022"
"LUcompUncertLab-VAR2K",1.54,9.61538461538462,81.9711538461538,81.4903846153846,83.0528846153846,85.4567307692308,6.25,18.75,25,37.5,"2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID",1.19,26.9230769230769,75.7211538461538,75.2403846153846,74.0384615384615,72.7163461538462,6.25,0,0,0,"2021-2022"
"MOBS-GLEAM_FLUH",1.07,38,71.1084905660377,65.8018867924528,59.7877358490566,56.4858490566038,0,0,0,0,"2021-2022"
"PSI-DICE",0.84,84.6153846153846,88.8888888888889,83.8675213675214,78.3119658119658,76.4957264957265,38.8888888888889,27.7777777777778,5.55555555555556,0,"2021-2022"
"SGroup-RandomForest",0.97,57.6923076923077,95.4059829059829,94.8717948717949,94.6581196581197,94.1239316239316,88.8888888888889,88.8888888888889,83.3333333333333,88.8888888888889,"2021-2022"
"SGroup-SIkJalpha",1.24,7.69230769230769,40.2777777777778,45.7264957264957,48.0769230769231,48.2905982905983,0,0,0,0,"2021-2022"
"SigSci-CREG",2.06,8,46.8674698795181,43.9759036144578,43.855421686747,43.1325301204819,0,0,0,0,"2021-2022"
"SigSci-TSENS",1.01,52,74.1071428571429,73.4375,70.5357142857143,69.1964285714286,11.1111111111111,5.55555555555556,5.55555555555556,5.55555555555556,"2021-2022"
"UMass-trends_ensemble",0.91,63.4615384615385,96.1538461538462,97.6495726495726,96.9017094017094,96.1538461538462,100,100,100,100,"2021-2022"
"UT_FluCast-Voltaire",1.15,26.9230769230769,94.7255113024758,90.9580193756728,89.1280947255113,90.4198062432723,83.3333333333333,72.2222222222222,55.5555555555556,61.1111111111111,"2021-2022"
"UVAFluX-Ensemble",1.14,15.3846153846154,66.0520607375271,65.5097613882863,62.5813449023861,60.9544468546638,11.1111111111111,0,0,0,"2021-2022"
