"model","Relative_WIS","below_baseline_pct","One_week_Cov","Two_week_Cov","Three_week_Cov","Four_week_Cov","One_week_Percent_above_90","Two_week_Percent_above_90","Three_week_Percent_above_90","Four_week_Percent_above_90","season"
"CEPH-Rtrend_fluH",1.07,55.7692307692308,70.9866220735786,75.9197324414716,74.8327759197324,73.2441471571906,34.7826086956522,39.1304347826087,47.8260869565217,34.7826086956522,"2022-2023"
"CMU-TimeSeries",0.7,92.3076923076923,84.1319717203456,84.8389630793401,84.7604084838963,84.1319717203456,50,57.6923076923077,65.3846153846154,65.3846153846154,"2022-2023"
"CU-ensemble",0.85,78.8461538461538,67.8321678321678,67.0454545454545,65.1223776223776,62.7622377622378,36.3636363636364,45.4545454545455,45.4545454545455,45.4545454545455,"2022-2023"
"Flusight-baseline",1,0,74.6301775147929,69.3047337278107,65.8284023668639,64.0532544378698,50,50,50,50,"2022-2023"
"Flusight-ensemble",0.74,100,83.1360946745562,78.1804733727811,74.7041420118343,73.594674556213,57.6923076923077,61.5384615384615,57.6923076923077,53.8461538461538,"2022-2023"
"GT-FluFNP",0.9,88,73.2449297971919,69.578783151326,72.0748829953198,74.6489859594384,50,50,50,61.5384615384615,"2022-2023"
"ISU_NiemiLab-Flu",1.25,9.61538461538462,54.8076923076923,55.1923076923077,49.4230769230769,46.3461538461538,20,25,10,10,"2022-2023"
"JHU_IDD-CovidSP",0.82,74.5098039215686,84.8566308243728,79.0322580645161,75.2688172043011,72.0430107526882,59.0909090909091,54.5454545454545,50,50,"2022-2023"
"MIGHTE-Nsemble",0.7,98.0769230769231,83.6545875096376,81.1873554356207,78.1033153430995,72.2222222222222,56,52,60,52,"2022-2023"
"MOBS-GLEAM_FLUH",0.66,100,78.4235668789809,74.6019108280255,73.4076433121019,75.3184713375796,30.7692307692308,19.2307692307692,15.3846153846154,15.3846153846154,"2022-2023"
"PSI-DICE",0.71,96.1538461538462,86.094674556213,78.1804733727811,73.2248520710059,71.5976331360947,57.6923076923077,61.5384615384615,57.6923076923077,53.8461538461538,"2022-2023"
"SGroup-RandomForest",0.87,90.3846153846154,88.0769230769231,81.3846153846154,78.2307692307692,76.4615384615385,68,64,64,60,"2022-2023"
"SigSci-CREG",1.16,20,61.8301731244847,54.7403132728772,50.7007419620775,48.1450948062655,38.4615384615385,38.4615384615385,34.6153846153846,34.6153846153846,"2022-2023"
"SigSci-TSENS",1.11,8,71.5990453460621,68.9737470167064,67.5417661097852,65.6324582338902,46.1538461538462,46.1538461538462,46.1538461538462,50,"2022-2023"
"UGA_flucast-OKeeffe",1.02,50.9803921568627,76.3137254901961,67.6862745098039,62.7450980392157,60.3921568627451,40,36,28,28,"2022-2023"
"UMass-trends_ensemble",0.83,90.3846153846154,90.0147928994083,88.2396449704142,85.207100591716,83.6538461538462,73.0769230769231,69.2307692307692,65.3846153846154,65.3846153846154,"2022-2023"
"UNC_IDD-InfluPaint",0.96,76.4705882352941,71.9332679097154,70.5593719332679,71.0500490677134,71.8351324828263,55,40,55,50,"2022-2023"
"UVAFluX-Ensemble",1.02,35.2941176470588,40.8748114630468,41.2518853695324,37.0286576168929,37.0286576168929,0,0,0,0,"2022-2023"
"VTSanghani-ExogModel",1.04,32.6923076923077,63.003663003663,58.1501831501832,55.3113553113553,55.1282051282051,0,0,0,4.76190476190476,"2022-2023"
