"model","location_name","wis","rel_wis","mae","below","Percent.Cov.50","Percent.Cov.95","season","modelorder"
"LUcompUncertLab-VAR2K","Tennessee",0.51,1.94,0.77,0,0.640625,1,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","Texas",0.5,1.53,0.67,0,0.296875,0.65625,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","Utah",0.67,1.61,1.07,0,0.46875,0.90625,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","Vermont",0.62,0.95,0.97,1,0.5625,0.796875,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","Virginia",0.25,1.64,0.31,0,0.71875,1,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","Washington",0.32,1.07,0.44,0,0.3125,0.703125,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","West Virginia",0.58,1.28,0.94,0,0.40625,0.875,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","Wisconsin",0.62,1.7,1.03,0,0.359375,0.953125,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K","Wyoming",0.79,1.9,1.25,0,0.34375,0.859375,"2021-2022","LUcompUncertLab-VAR2K 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Alabama",0.21,0.59,0.31,1,0.65625,1,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Alaska",0.4,0.88,0.62,1,0.75,0.9375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Arizona",0.5,1.38,0.64,0,0.21875,0.65625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Arkansas",0.34,0.97,0.46,1,0.40625,0.765625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","California",0.33,0.86,0.46,1,0.21875,0.65625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Colorado",0.93,1.89,1.24,0,0.1875,0.53125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Connecticut",0.59,1.01,0.85,0,0.296875,0.609375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Delaware",0.72,1.32,0.95,0,0.453125,0.703125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","District of Columbia",0.46,1.4,0.74,0,0.296875,0.75,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Florida",0.41,1.11,0.5,0,0.234375,0.421875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Georgia",0.18,0.86,0.26,1,0.609375,0.859375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Hawaii",0.5,1.01,0.74,0,0.5625,0.703125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Idaho",0.41,1.22,0.54,0,0.4375,0.75,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Illinois",0.62,1.41,0.89,0,0.265625,0.453125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Indiana",0.59,1.62,0.83,0,0.6875,0.84375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Iowa",0.34,1.04,0.48,0,0.53125,0.90625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Kansas",0.32,0.89,0.48,1,0.625,0.96875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Kentucky",0.49,1.15,0.72,0,0.25,0.609375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Louisiana",0.31,1.02,0.46,0,0.578125,0.9375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Maine",0.85,1.47,1.18,0,0.25,0.421875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Maryland",0.37,1.17,0.56,0,0.265625,0.828125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Massachusetts",0.8,1.53,1.05,0,0.15625,0.390625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Michigan",0.44,1.19,0.64,0,0.125,0.515625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Minnesota",0.75,1.85,1.3,0,0.4375,0.953125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Mississippi",0.21,0.92,0.29,1,0.703125,0.984375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Missouri",0.3,1.14,0.48,0,0.515625,0.953125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Montana",0.43,1.07,0.62,0,0.328125,0.671875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Nebraska",0.49,1.09,0.85,0,0.40625,0.828125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Nevada",0.52,1.03,0.69,0,0.171875,0.390625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","New Hampshire",0.64,1.51,0.94,0,0.328125,0.59375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","New Jersey",0.27,0.73,0.4,1,0.375,0.828125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","New Mexico",0.8,1.4,1.16,0,0.3125,0.546875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","New York",0.61,1.34,0.87,0,0.21875,0.53125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","North Carolina",0.38,0.95,0.5,1,0.84375,1,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","North Dakota",0.44,0.98,0.71,0,0.9375,1,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Ohio",0.44,1.26,0.62,0,0.34375,0.890625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Oklahoma",0.47,1.38,0.56,0,0.40625,0.734375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Oregon",0.6,1.45,0.8,0,0.203125,0.578125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Pennsylvania",0.36,1.28,0.48,0,0.359375,0.671875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Puerto Rico",0.54,1.05,0.77,0,0.34375,0.640625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Rhode Island",0.59,1.26,0.84,0,0.296875,0.625,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","South Carolina",0.19,0.92,0.27,1,0.546875,0.953125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","South Dakota",0.57,1.37,0.98,0,0.578125,0.921875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Tennessee",0.21,0.82,0.3,1,0.625,0.9375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Texas",0.57,1.75,0.7,0,0.328125,0.578125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Utah",0.44,1.06,0.67,0,0.390625,0.78125,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Vermont",0.61,0.93,1,1,0.578125,0.796875,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Virginia",0.14,0.94,0.22,1,0.578125,0.984375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Washington",0.35,1.16,0.46,0,0.1875,0.5,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","West Virginia",0.46,1.03,0.72,0,0.296875,0.75,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Wisconsin",0.56,1.56,0.95,0,0.421875,0.859375,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID","Wyoming",0.36,0.88,0.51,1,0.796875,1,"2021-2022","LUcompUncertLab-VAR2K_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Alabama",0.18,0.52,0.28,1,0.661764705882353,1,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Alaska",0.37,0.82,0.57,1,0.808823529411765,0.941176470588235,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Arizona",0.52,1.38,0.7,0,0.220588235294118,0.573529411764706,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Arkansas",0.3,0.84,0.43,1,0.411764705882353,0.779411764705882,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","California",0.34,0.88,0.44,1,0.147058823529412,0.588235294117647,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Colorado",0.58,1.17,0.79,0,0.161764705882353,0.544117647058823,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Connecticut",0.55,0.95,0.74,1,0.235294117647059,0.514705882352941,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Delaware",0.47,0.87,0.63,1,0.632352941176471,0.838235294117647,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","District of Columbia",0.39,1.24,0.65,0,0.529411764705882,0.808823529411765,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Florida",0.44,1.16,0.52,0,0.220588235294118,0.367647058823529,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Georgia",0.17,0.81,0.26,1,0.544117647058823,0.955882352941177,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Hawaii",0.56,1.16,0.86,0,0.544117647058823,0.676470588235294,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Idaho",0.44,1.32,0.63,0,0.397058823529412,0.691176470588235,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Illinois",0.53,1.21,0.73,0,0.161764705882353,0.544117647058823,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Indiana",0.4,1.12,0.57,0,0.441176470588235,0.852941176470588,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Iowa",0.29,0.88,0.43,1,0.544117647058823,0.867647058823529,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Kansas",0.33,0.92,0.49,1,0.573529411764706,0.970588235294118,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Kentucky",0.53,1.23,0.75,0,0.191176470588235,0.573529411764706,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Louisiana",0.27,0.87,0.43,1,0.558823529411765,0.970588235294118,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Maine",0.85,1.46,1.23,0,0.25,0.529411764705882,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Maryland",0.33,1.05,0.48,0,0.352941176470588,0.794117647058823,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Massachusetts",0.6,1.16,0.77,0,0.132352941176471,0.411764705882353,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Michigan",0.43,1.15,0.61,0,0.161764705882353,0.514705882352941,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Minnesota",0.49,1.12,0.78,0,0.544117647058823,0.985294117647059,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Mississippi",0.19,0.85,0.26,1,0.661764705882353,0.985294117647059,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Missouri",0.22,0.81,0.34,1,0.5,0.970588235294118,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Montana",0.5,1.25,0.71,0,0.308823529411765,0.661764705882353,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Nebraska",0.43,0.96,0.61,1,0.573529411764706,0.794117647058823,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Nevada",0.49,0.98,0.64,0,0.161764705882353,0.426470588235294,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","New Hampshire",0.74,1.75,1.08,0,0.279411764705882,0.485294117647059,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","New Jersey",0.29,0.77,0.43,1,0.264705882352941,0.720588235294118,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","New Mexico",0.78,1.34,1.03,0,0.205882352941176,0.544117647058823,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","New York",0.44,0.98,0.59,0,0.0882352941176471,0.470588235294118,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","North Carolina",0.39,0.97,0.48,1,0.676470588235294,1,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","North Dakota",0.42,0.95,0.65,1,0.970588235294118,1,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Ohio",0.36,0.99,0.57,0,0.352941176470588,0.926470588235294,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Oklahoma",0.36,1.07,0.43,0,0.485294117647059,0.735294117647059,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Oregon",0.71,1.66,0.96,0,0.132352941176471,0.470588235294118,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Pennsylvania",0.27,0.95,0.39,1,0.25,0.661764705882353,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Puerto Rico",0.42,0.83,0.54,1,0.470588235294118,0.691176470588235,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Rhode Island",0.56,1.23,0.81,0,0.441176470588235,0.632352941176471,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","South Carolina",0.25,1.23,0.37,0,0.514705882352941,0.911764705882353,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","South Dakota",0.4,0.96,0.53,1,0.823529411764706,0.926470588235294,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Tennessee",0.2,0.73,0.26,1,0.632352941176471,0.985294117647059,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Texas",0.36,1.13,0.4,0,0.470588235294118,0.617647058823529,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Utah",0.49,1.17,0.72,0,0.426470588235294,0.75,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Vermont",0.68,1.05,1.04,0,0.397058823529412,0.75,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Virginia",0.14,0.95,0.22,1,0.544117647058823,0.985294117647059,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Washington",0.42,1.42,0.54,0,0.132352941176471,0.352941176470588,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","West Virginia",0.42,0.95,0.59,1,0.308823529411765,0.705882352941177,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Wisconsin",0.43,1.17,0.67,0,0.411764705882353,0.882352941176471,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LUcompUncertLab-VAR2_plusCOVID","Wyoming",0.38,0.93,0.6,1,0.75,1,"2021-2022","LUcompUncertLab-VAR2_plusCOVID 2021-2022"
"LosAlamos_NAU-CModel_Flu","Alabama",0.18,0.51,0.28,1,0.375,0.972222222222222,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Alaska",0.61,1.28,1.11,0,0.555555555555556,0.819444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Arizona",0.78,2.1,1.19,0,0.0833333333333333,0.375,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Arkansas",0.4,1.13,0.57,0,0.333333333333333,0.680555555555556,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","California",1.29,3.44,1.56,0,0.0416666666666667,0.0833333333333333,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Colorado",1.14,2.38,1.65,0,0.152777777777778,0.430555555555556,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Connecticut",0.69,1.18,0.93,0,0.152777777777778,0.541666666666667,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Delaware",0.6,1.13,0.88,0,0.416666666666667,0.736111111111111,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","District of Columbia",0.37,1.19,0.59,0,0.569444444444444,0.944444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Florida",1.03,2.81,1.22,0,0,0.166666666666667,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Georgia",0.41,1.94,0.57,0,0.194444444444444,0.541666666666667,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Hawaii",0.55,1.13,0.82,0,0.444444444444444,0.791666666666667,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Idaho",0.26,0.8,0.38,1,0.486111111111111,0.944444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Illinois",0.99,2.23,1.37,0,0.180555555555556,0.402777777777778,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Indiana",0.64,1.77,0.98,0,0.111111111111111,0.513888888888889,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Iowa",0.34,1.02,0.49,0,0.388888888888889,0.652777777777778,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Kansas",0.29,0.79,0.47,1,0.527777777777778,0.986111111111111,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Kentucky",0.61,1.46,0.87,0,0.277777777777778,0.569444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Louisiana",0.55,1.8,0.88,0,0.208333333333333,0.527777777777778,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Maine",0.78,1.32,1.05,0,0.138888888888889,0.486111111111111,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Maryland",0.8,2.52,1.03,0,0.263888888888889,0.416666666666667,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Massachusetts",1.08,2.08,1.43,0,0.111111111111111,0.319444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Michigan",1.23,3.2,1.73,0,0,0.236111111111111,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Minnesota",0.9,2.11,1.39,0,0.166666666666667,0.541666666666667,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Mississippi",0.47,2.05,0.69,0,0.0833333333333333,0.583333333333333,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Missouri",0.7,2.67,0.98,0,0.0138888888888889,0.263888888888889,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Montana",0.43,1.05,0.6,0,0.291666666666667,0.819444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Nebraska",0.36,0.81,0.6,1,0.472222222222222,0.861111111111111,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Nevada",1.07,2.17,1.44,0,0.138888888888889,0.333333333333333,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","New Hampshire",0.65,1.53,0.87,0,0.305555555555556,0.569444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","New Jersey",0.94,2.57,1.21,0,0.138888888888889,0.277777777777778,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","New Mexico",0.55,0.96,0.72,1,0.333333333333333,0.625,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","New York",1.16,2.73,1.57,0,0.152777777777778,0.361111111111111,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","North Carolina",0.52,1.32,0.8,0,0.208333333333333,0.666666666666667,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","North Dakota",0.44,1,0.71,0,0.652777777777778,0.944444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Ohio",0.91,2.58,1.29,0,0.0555555555555556,0.333333333333333,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Oklahoma",0.58,1.73,0.85,0,0.111111111111111,0.513888888888889,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Oregon",0.45,1.07,0.63,0,0.263888888888889,0.736111111111111,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Pennsylvania",0.7,2.47,0.97,0,0.125,0.402777777777778,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Puerto Rico",0.58,1.2,0.75,0,0.152777777777778,0.5,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","Rhode Island",0.46,1.01,0.72,0,0.513888888888889,0.819444444444444,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
"LosAlamos_NAU-CModel_Flu","South Carolina",0.55,2.71,0.81,0,0.194444444444444,0.555555555555556,"2021-2022","LosAlamos_NAU-CModel_Flu 2021-2022"
