"model","location_name","wis","rel_wis","mae","below","Percent.Cov.50","Percent.Cov.95","season","modelorder"
"Flusight-baseline","Maryland",0.32,1,0.45,0,0.458333333333333,0.944444444444444,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Massachusetts",0.54,1,0.71,0,0.277777777777778,0.666666666666667,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Michigan",0.4,1,0.59,0,0.263888888888889,0.722222222222222,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Minnesota",0.43,1,0.62,0,0.847222222222222,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Mississippi",0.23,1,0.29,0,0.833333333333333,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Missouri",0.27,1,0.37,0,0.666666666666667,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Montana",0.41,1,0.59,0,0.652777777777778,0.916666666666667,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Nebraska",0.45,1,0.61,0,0.611111111111111,0.902777777777778,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Nevada",0.49,1,0.67,0,0.152777777777778,0.513888888888889,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","New Hampshire",0.42,1,0.68,0,0.486111111111111,0.944444444444444,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","New Jersey",0.37,1,0.55,0,0.166666666666667,0.75,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","New Mexico",0.57,1,0.83,0,0.180555555555556,0.638888888888889,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","New York",0.43,1,0.62,0,0.0833333333333333,0.583333333333333,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","North Carolina",0.4,1,0.44,0,0.680555555555556,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","North Dakota",0.44,1,0.67,0,0.986111111111111,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Ohio",0.36,1,0.56,0,0.513888888888889,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Oklahoma",0.34,1,0.39,0,0.583333333333333,0.972222222222222,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Oregon",0.42,1,0.65,0,0.305555555555556,0.847222222222222,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Pennsylvania",0.3,1,0.41,0,0.361111111111111,0.680555555555556,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Puerto Rico",0.5,1,0.67,0,0.333333333333333,0.680555555555556,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Rhode Island",0.45,1,0.75,0,0.527777777777778,0.777777777777778,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","South Carolina",0.21,1,0.3,0,0.652777777777778,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","South Dakota",0.41,1,0.55,0,0.916666666666667,0.986111111111111,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Tennessee",0.26,1,0.33,0,0.708333333333333,0.986111111111111,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Texas",0.32,1,0.41,0,0.430555555555556,0.680555555555556,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Utah",0.43,1,0.71,0,0.541666666666667,0.833333333333333,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Vermont",0.63,1,0.95,0,0.416666666666667,0.791666666666667,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Virginia",0.15,1,0.22,0,0.444444444444444,0.791666666666667,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Washington",0.3,1,0.42,0,0.152777777777778,0.472222222222222,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","West Virginia",0.44,1,0.61,0,0.402777777777778,0.916666666666667,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Wisconsin",0.37,1,0.53,0,0.666666666666667,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-baseline","Wyoming",0.42,1,0.59,0,0.805555555555556,1,"2021-2022","Flusight-baseline 2021-2022"
"Flusight-ensemble","Alabama",0.17,0.51,0.27,1,0.652777777777778,1,"2021-2022","Flusight-ensemble 2021-2022"
"Flusight-ensemble","Alaska",0.41,0.84,0.63,1,0.75,0.902777777777778,"2021-2022","Flusight-ensemble 2021-2022"
"Flusight-ensemble","Arizona",0.37,0.96,0.54,1,0.236111111111111,0.722222222222222,"2021-2022","Flusight-ensemble 2021-2022"
"Flusight-ensemble","Arkansas",0.25,0.7,0.39,1,0.458333333333333,0.888888888888889,"2021-2022","Flusight-ensemble 2021-2022"
