"model","n_forecasts","per_forecasts","n_locations","per_locations","wis","rel_wis","mae","Percent.Cov.50","Percent.Cov.95","season"
"CMU-TimeSeries",86112,100,52,98.11,0.31,0.79,0.47,0.469818376068376,0.896901709401709,"2021-2022"
"Flusight-ensemble",86112,100,52,98.11,0.33,0.83,0.5,0.482371794871795,0.859775641025641,"2021-2022"
"PSI-DICE",86112,100,52,98.11,0.33,0.84,0.5,0.427350427350427,0.818910256410256,"2021-2022"
"UMass-trends_ensemble",86112,100,52,98.11,0.36,0.91,0.53,0.714209401709402,0.967147435897436,"2021-2022"
"SGroup-RandomForest",86112,100,52,98.11,0.38,0.97,0.59,0.471688034188034,0.947649572649573,"2021-2022"
"CEID-Walk",76544,88.89,52,98.11,0.39,0.98,0.55,0.521935096153846,0.821814903846154,"2021-2022"
"CU-ensemble",86112,100,52,98.11,0.39,0.98,0.57,0.44150641025641,0.771634615384615,"2021-2022"
"GT-FluFNP",82800,96.15,50,94.34,0.38,0.98,0.54,0.386111111111111,0.692777777777778,"2021-2022"
"Flusight-baseline",86112,100,52,98.11,0.4,1,0.56,0.487446581196581,0.826388888888889,"2021-2022"
"SigSci-TSENS",82432,95.73,50,94.34,0.4,1.01,0.55,0.378348214285714,0.718191964285714,"2021-2022"
"IEM_Health-FluProject",86112,100,52,98.11,0.4,1.02,0.58,0.498130341880342,0.846955128205128,"2021-2022"
"LUcompUncertLab-TEVA",76544,88.89,52,98.11,0.41,1.04,0.59,0.541466346153846,0.856670673076923,"2021-2022"
"MOBS-GLEAM_FLUH",78016,90.6,50,94.34,0.42,1.07,0.59,0.324292452830189,0.632959905660377,"2021-2022"
"LUcompUncertLab-VAR2_plusCOVID",81328,94.44,52,98.11,0.42,1.08,0.6,0.416572398190045,0.737273755656109,"2021-2022"
"UVAFluX-Ensemble",84824,98.5,52,98.11,0.45,1.14,0.57,0.382592190889371,0.637744034707158,"2021-2022"
"UT_FluCast-Voltaire",85468,99.25,52,98.11,0.45,1.15,0.71,0.502960172228202,0.91307857911733,"2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID",76544,88.89,52,98.11,0.47,1.19,0.68,0.421574519230769,0.744290865384615,"2021-2022"
"SGroup-SIkJalpha",86112,100,52,98.11,0.49,1.24,0.63,0.18082264957265,0.455929487179487,"2021-2022"
"LUcompUncertLab-VAR2",81328,94.44,52,98.11,0.53,1.35,0.77,0.391402714932127,0.722850678733032,"2021-2022"
"LUcompUncertLab-VAR2K",76544,88.89,52,98.11,0.61,1.54,0.93,0.420973557692308,0.829927884615385,"2021-2022"
"LosAlamos_NAU-CModel_Flu",86112,100,52,98.11,0.63,1.62,0.9,0.257478632478632,0.587873931623932,"2021-2022"
"GH-Flusight",81328,94.44,52,98.11,0.74,1.88,0.79,0.0627828054298643,0.134615384615385,"2021-2022"
"SigSci-CREG",76360,88.68,50,94.34,0.8,2.06,1.04,0.192168674698795,0.444578313253012,"2021-2022"
"MOBS-GLEAM_FLUH",115552,92.9,51,96.23,0.37,0.66,0.54,0.382165605095541,0.75437898089172,"2022-2023"
"CMU-TimeSeries",117116,94.16,52,98.11,0.41,0.7,0.62,0.461311861743912,0.844658287509819,"2022-2023"
"MIGHTE-Nsemble",119396,95.99,52,98.11,0.41,0.7,0.58,0.477080123266564,0.787931366878735,"2022-2023"
"PSI-DICE",124384,100,52,98.11,0.42,0.71,0.6,0.447485207100592,0.772744082840237,"2022-2023"
"Flusight-ensemble",124384,100,52,98.11,0.44,0.74,0.62,0.51146449704142,0.774038461538462,"2022-2023"
"JHU_IDD-CovidSP",102672,82.54,51,96.23,0.49,0.82,0.69,0.465501792114695,0.778001792114695,"2022-2023"
"UMass-trends_ensemble",124384,100,52,98.11,0.49,0.83,0.69,0.597633136094675,0.867788461538462,"2022-2023"
"CU-ensemble",105248,84.62,52,98.11,0.51,0.85,0.69,0.451704545454545,0.656905594405594,"2022-2023"
"SGroup-RandomForest",119600,96.15,52,98.11,0.52,0.87,0.75,0.482307692307692,0.810384615384615,"2022-2023"
"GT-FluFNP",117944,94.82,50,94.34,0.53,0.9,0.66,0.518525741029641,0.72386895475819,"2022-2023"
"UNC_IDD-InfluPaint",93748,75.37,51,96.23,0.52,0.96,0.74,0.357212953876349,0.713444553483808,"2022-2023"
"Flusight-baseline",124384,100,52,98.11,0.59,1,0.73,0.411797337278107,0.684541420118343,"2022-2023"
"UGA_flucast-OKeeffe",117300,94.3,51,96.23,0.61,1.02,0.82,0.407647058823529,0.667843137254902,"2022-2023"
"UVAFluX-Ensemble",121992,98.08,51,96.23,0.61,1.02,0.75,0.200603318250377,0.390460030165913,"2022-2023"
"VTSanghani-ExogModel",100464,80.77,52,98.11,0.63,1.04,0.83,0.272664835164835,0.578983516483517,"2022-2023"
"CEPH-Rtrend_fluH",110032,88.46,52,98.11,0.58,1.07,0.89,0.378135451505017,0.737458193979933,"2022-2023"
"SigSci-TSENS",115644,92.97,50,94.34,0.66,1.11,0.88,0.502187748607796,0.68436754176611,"2022-2023"
"SigSci-CREG",111596,89.72,50,94.34,0.68,1.16,0.83,0.316570486397362,0.538540807914262,"2022-2023"
"ISU_NiemiLab-Flu",95680,76.92,52,98.11,0.71,1.25,0.93,0.292307692307692,0.514423076923077,"2022-2023"
