"model","location_name","relative_WIS","season"
"CMU-TimeSeries","Ohio",0.712761199442345,"2021-2022"
"CMU-TimeSeries","Oklahoma",0.902253576823971,"2021-2022"
"CMU-TimeSeries","Oregon",0.842874715149317,"2021-2022"
"CMU-TimeSeries","Pennsylvania",0.581559544170974,"2021-2022"
"CMU-TimeSeries","Puerto Rico",0.760607470088062,"2021-2022"
"CMU-TimeSeries","Rhode Island",0.80577183764466,"2021-2022"
"CMU-TimeSeries","South Carolina",1.48633614578982,"2021-2022"
"CMU-TimeSeries","South Dakota",1.18620721497168,"2021-2022"
"CMU-TimeSeries","Tennessee",1.21160490768994,"2021-2022"
"CMU-TimeSeries","Texas",0.812777536840925,"2021-2022"
"CMU-TimeSeries","Utah",1.44807779820196,"2021-2022"
"CMU-TimeSeries","Vermont",0.84512644506979,"2021-2022"
"CMU-TimeSeries","Virginia",1.12297987692259,"2021-2022"
"CMU-TimeSeries","Washington",0.618679194850504,"2021-2022"
"CMU-TimeSeries","West Virginia",0.717172171513353,"2021-2022"
"CMU-TimeSeries","Wisconsin",0.786151754825226,"2021-2022"
"CMU-TimeSeries","Wyoming",0.795829213964957,"2021-2022"
"CU-ensemble","Alabama",1.07611503632625,"2021-2022"
"CU-ensemble","Alaska",0.925267171624563,"2021-2022"
"CU-ensemble","Arizona",1.02058274216863,"2021-2022"
"CU-ensemble","Arkansas",0.866700051430582,"2021-2022"
"CU-ensemble","California",1.21875233601185,"2021-2022"
"CU-ensemble","Colorado",1.14685334319278,"2021-2022"
"CU-ensemble","Connecticut",1.4462309883278,"2021-2022"
"CU-ensemble","Delaware",0.942534451627545,"2021-2022"
"CU-ensemble","District of Columbia",1.08328907316349,"2021-2022"
"CU-ensemble","Florida",1.02444189304095,"2021-2022"
"CU-ensemble","Georgia",0.836638624642486,"2021-2022"
"CU-ensemble","Hawaii",0.968361860136591,"2021-2022"
"CU-ensemble","Idaho",2.93421501846682,"2021-2022"
"CU-ensemble","Illinois",1.15086653258156,"2021-2022"
"CU-ensemble","Indiana",1.03132399403797,"2021-2022"
"CU-ensemble","Iowa",3.28801684390811,"2021-2022"
"CU-ensemble","Kansas",1.16737178514916,"2021-2022"
"CU-ensemble","Kentucky",1.0579948628472,"2021-2022"
"CU-ensemble","Louisiana",1.21160689581883,"2021-2022"
"CU-ensemble","Maine",1.41491515831354,"2021-2022"
"CU-ensemble","Maryland",1.09955712730785,"2021-2022"
"CU-ensemble","Massachusetts",0.908425710244917,"2021-2022"
"CU-ensemble","Michigan",0.985606343534535,"2021-2022"
"CU-ensemble","Minnesota",1.00369015171315,"2021-2022"
"CU-ensemble","Mississippi",1.00335434673279,"2021-2022"
"CU-ensemble","Missouri",0.97666151866011,"2021-2022"
"CU-ensemble","Montana",1.12462294880133,"2021-2022"
"CU-ensemble","Nebraska",1.06152908838247,"2021-2022"
"CU-ensemble","Nevada",1.21319763098922,"2021-2022"
"CU-ensemble","New Hampshire",1.14129656571266,"2021-2022"
"CU-ensemble","New Jersey",0.801369028313741,"2021-2022"
"CU-ensemble","New Mexico",0.851980490146436,"2021-2022"
"CU-ensemble","New York",1.03291201114129,"2021-2022"
"CU-ensemble","North Carolina",0.929779009019143,"2021-2022"
"CU-ensemble","North Dakota",2.87061910834556,"2021-2022"
"CU-ensemble","Ohio",1.11417158912948,"2021-2022"
"CU-ensemble","Oklahoma",0.768160848646475,"2021-2022"
"CU-ensemble","Oregon",1.2996773409266,"2021-2022"
"CU-ensemble","Pennsylvania",1.16367999921276,"2021-2022"
"CU-ensemble","Puerto Rico",1.44883970485509,"2021-2022"
"CU-ensemble","Rhode Island",1.05889470205353,"2021-2022"
"CU-ensemble","South Carolina",1.94157687487403,"2021-2022"
"CU-ensemble","South Dakota",0.99381310022162,"2021-2022"
"CU-ensemble","Tennessee",0.905120496623993,"2021-2022"
"CU-ensemble","Texas",0.861771527860535,"2021-2022"
"CU-ensemble","Utah",1.07104389048341,"2021-2022"
"CU-ensemble","Vermont",0.795552766995519,"2021-2022"
"CU-ensemble","Virginia",1.03985517026985,"2021-2022"
"CU-ensemble","Washington",1.15317195302155,"2021-2022"
"CU-ensemble","West Virginia",1.45178725337994,"2021-2022"
"CU-ensemble","Wisconsin",1.00531340819551,"2021-2022"
"CU-ensemble","Wyoming",0.995431967886794,"2021-2022"
"Flusight-baseline","Alabama",1,"2021-2022"
"Flusight-baseline","Alaska",1,"2021-2022"
"Flusight-baseline","Arizona",1,"2021-2022"
"Flusight-baseline","Arkansas",1,"2021-2022"
"Flusight-baseline","California",1,"2021-2022"
"Flusight-baseline","Colorado",1,"2021-2022"
"Flusight-baseline","Connecticut",1,"2021-2022"
"Flusight-baseline","Delaware",1,"2021-2022"
"Flusight-baseline","District of Columbia",1,"2021-2022"
"Flusight-baseline","Florida",1,"2021-2022"
"Flusight-baseline","Georgia",1,"2021-2022"
"Flusight-baseline","Hawaii",1,"2021-2022"
"Flusight-baseline","Idaho",1,"2021-2022"
"Flusight-baseline","Illinois",1,"2021-2022"
"Flusight-baseline","Indiana",1,"2021-2022"
"Flusight-baseline","Iowa",1,"2021-2022"
"Flusight-baseline","Kansas",1,"2021-2022"
"Flusight-baseline","Kentucky",1,"2021-2022"
"Flusight-baseline","Louisiana",1,"2021-2022"
"Flusight-baseline","Maine",1,"2021-2022"
"Flusight-baseline","Maryland",1,"2021-2022"
"Flusight-baseline","Massachusetts",1,"2021-2022"
"Flusight-baseline","Michigan",1,"2021-2022"
"Flusight-baseline","Minnesota",1,"2021-2022"
"Flusight-baseline","Mississippi",1,"2021-2022"
"Flusight-baseline","Missouri",1,"2021-2022"
"Flusight-baseline","Montana",1,"2021-2022"
