"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","Flusight-baseline"
"6","Flusight-ensemble"
"7","GT-FluFNP"
"8","ISU_NiemiLab-Flu"
"9","LosAlamos_NAU-CModel_Flu"
"10","LUcompUncertLab-hier_mech_model"
"11","LUcompUncertLab-humanjudgment"
"12","LUcompUncertLab-KalmanFilter"
"13","MIGHTE-Nsemble"
"14","MOBS-GLEAM_FLUH"
"15","NIH-Flu_ARIMA"
"16","PSI-DICE"
"17","SigSci-CREG"
"18","SigSci-TSENS"
"19","UGuelph-FluPLUG"
"20","UMass-gbq"
"21","UMass-trends_ensemble"
"22","UNC_IDD-InfluPaint"
"23","UVAFluX-Ensemble"
"24","VTSanghani-ExogModel"
