"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","Flusight-baseline"
"6","GT-FluFNP"
"7","ISU_NiemiLab-Flu"
"8","LosAlamos_NAU-CModel_Flu"
"9","LUcompUncertLab-hier_mech_model"
"10","LUcompUncertLab-humanjudgment"
"11","LUcompUncertLab-KalmanFilter"
"12","MIGHTE-Nsemble"
"13","MOBS-GLEAM_FLUH"
"14","NIH-Flu_ARIMA"
"15","PSI-DICE"
"16","SigSci-CREG"
"17","SigSci-TSENS"
"18","UGuelph-FluPLUG"
"19","UMass-gbq"
"20","UMass-trends_ensemble"
"21","UNC_IDD-InfluPaint"
"22","UVAFluX-Ensemble"
"23","VTSanghani-ExogModel"
